Title,Link,Paragraphs,Topic,Image
Ukraine’s Drone Swarms Are Destroying Russian Nuclear Bombers. What Happens Now?,https://www.csis.org/analysis/ukraines-drone-swarms-are-destroying-russian-nuclear-bombers-what-happens-now,"['Photo: @DefenceU via X https://x.com/DefenceU/status/1930259644317897100', 'Critical Questions by Masao Dahlgren and Lachlan MacKenzie', 'Published June 4, 2025', 'On June 1, Ukraine launched drone attacks against strategic airbases across Russia. Ukrainian President Volodymyr Zelenskyy claimed that the strikes—dubbed Operation “Spider’s Web”—damaged or destroyed 34 percent of Russia’s strategic cruise missile–carrying bomber fleet. Ukrainian government sources subsequently reported that the attacks hit 41 and destroyed “at least 13” aircraft at four bases, including two facilities over 1,000 miles from Ukraine. Open-source satellite imagery and videos suggest that the attacks destroyed and damaged multiple strategic aircraft, but the attacks’ full impact will likely become clearer as additional imagery becomes available over the coming days.', 'The fact that cheap drones destroyed a significant fraction of Russia’s nuclear-capable bomber force is almost impossible to ignore. Past events suggest that Russia may respond with nuclear threats if it perceives Western involvement, but the scale of the attack may elicit a forceful response regardless. Further, the strikes underscore how other large militaries, like that of the United States, may be vulnerable to drone attack. Despite the attention paid to procuring new counter-drone systems, changes to organization, training, and legal authorities are equally important to filling the defensive gap. Guerilla warfare is now possible by air.', 'Q1: How did Ukraine strike Russia’s nuclear bombers?', 'A1: The operation involved 117 small, first-person view (FPV) drones, which Ukraine smuggled into Russia and launched from commercial cargo trucks near Russian airbases. The SBU—Ukraine’s internal security and intelligence agency—claimed responsibility for the attacks, which struck four locations: Dyagilevo Air Base in Ryazan Oblast, Ivanovo Air Base in Ivanovo Oblast, Olenya Air Base in Murmansk Oblast, and Belaya Air Base in Irkutsk Oblast.', 'Russia’s Ministry of Defense claimed that attacks were repelled in Amur, Murmansk, and Ivanovo oblasts, but acknowledged that drones caused several aircraft to catch fire in Murmansk and Irkutsk. Commercial satellite imagery and videos of the attacks suggest that Ukraine destroyed or damaged at least four Tu-95 Bear and three Tu-22M3 Backfire bombers at Belaya Air Base, four Bears and an An-12 Cub cargo plane at Olenya Air Base, two A-50U Mainstay airborne warning platforms at Ivanovo Air Base, and an uncertain number of Backfire bombers at Dyagilevo Air Base.', 'Ukraine’s attack follows a series of record-breaking Russian drone and missile strikes against Ukrainian civilian infrastructure. The night before the attack, Russia conducted the largest wave of strikes to date, using 472 drones. The weekend prior, Russia launched a multi-day strike with over 1,000 drones and missiles that killed 15 and injured dozens more. Russian strategic bombers—including the Bear and Backfire—have played key roles in past strikes, and Operation Spider’s Web partly serves as retaliation for those attacks. The planning for the operation, however, took over 18 months, and the decision to launch the attacks on June 1 may have been more a matter of tactical opportunity than retaliation for any specific Russian attack.', 'Q2: Will Russia make nuclear threats?', 'A2: So far, Russia’s public response to the attacks has been muted. Russian media reporting on the incident has been limited, and Kremlin officials have been slow to comment. On June 4, Deputy Foreign Minister Sergei Ryabkov urged the United States and United Kingdom to “react in such a way as to stop further escalation,” and the spokesperson for Russia’s Foreign Ministry alleged that the West provided support for Ukraine’s attacks. On a call with President Trump, however, Putin pledged to respond to the attacks.', 'Ukraine’s latest strikes serve as a case study on how Russia reacts to attacks on its nuclear forces. Kremlin responses to past Ukrainian strikes on nuclear-capable systems have been muted, provided they were conducted with Ukraine’s own drones. When Ukraine destroyed nuclear-capable Backfire bombers in July and August 2023, for example, the Kremlin responded with unremarkable MoD statements. The Kremlin’s reactions to Ukrainian strikes on Russian oil and gas infrastructure have been similarly restrained. Notably, while Ukraine’s latest strikes meet Russian doctrinal conditions for a nuclear response (Russia’s nuclear doctrine lists “actions by an adversary affecting elements of critically important state or military infrastructure of the Russian Federation, the disablement of which would disrupt response actions by nuclear forces” as a condition justifying the use of nuclear weapons), there are no public indications that Russia has changed its nuclear posture.', 'On the other hand, Ukrainian strikes on Russian territory with Western support (real or perceived) have elicited more forceful reactions. Following Ukrainian strikes on Russian early warning radars (used for detecting nuclear launches) in May 2024, for example, Deputy Foreign Minister Ryabkov warned that Russia’s response could be “asymmetrical” and that the United States was “underestimating the seriousness of the response they may receive” for supporting such attacks. And after Ukraine struck conventional targets in Russia with Western missiles in November 2024, the Kremlin sent a clear nuclear signal to Ukraine and its Western supporters by launching a dual-capable intermediate-range ballistic missile (IRBM) into Ukraine.', 'If the Kremlin concludes that Operation Spider’s Web benefited from U.S. support (as it seems to have done), Russia may attempt to coerce the West into restraining future Ukrainian strikes with intensified nuclear signaling, such as by using dual-capable munitions like the Oreshnik IRBM. And given the scale of Ukraine’s strikes, Russia may feel compelled to send a nuclear signal regardless of Western involvement.', 'Q3: How will this affect Russia’s military?', 'A3: The loss of even 11 aircraft would be a major blow to Russia’s strategic bomber fleet, which has played a central role in missile strikes against Ukraine. As of 2025, the Russian Air Force is thought to operate 126 strategic bombers, including 55 Tu-22M3 Backfires, 58 Tu-95MS Bears, and 13 Tu-160 Blackjacks. In addition, Russia operates only seven A-50U Mainstay airborne radar aircraft, used for detecting Ukrainian aircraft, missiles, and drones and commanding friendly aircraft.', 'Only a portion of the bombers that Russia has available are equipped for and employed in the strategic nuclear mission. Russia’s strategic nuclear bomber force consists of roughly 52 Bears and 13 Blackjacks, making the loss of 11 or more bombers a substantial challenge for Russia’s strategic airborne nuclear forces. Russia’s bomber leg, however, was already the smallest component of its nuclear triad: air-launched weapons account for only 586 of Russia’s estimated 2,832 strategic warheads, the bulk of which are deployed on land-based intercontinental ballistic missiles (ICBMs) and ballistic missile submarines.', 'These aircraft losses are more significant when considering that not all of Russia’s bomber inventory can be easily regenerated. Both the Backfire and Bear bombers, the mainstays of Moscow’s bomber force, are long out of production, and constructing new Blackjacks to replace them has proven exceptionally costly.', 'It is also crucial to recognize that not all of Russia’s bombers are available for combat. In the United States, for instance, roughly half of the bomber fleet is under maintenance or otherwise unavailable at any given time. After strikes in 2023, Ukraine’s intelligence chief estimated that Russia possessed only 27 Backfires “that can actually fly.” If the aircraft Ukraine hit were combat-ready, the strike would disproportionately impact Russia’s air operations.', 'Q4: Is the United States prepared for similar kinds of attacks?', 'A4: The United States, like Russia, has long leaned on its geographic depth to secure itself against threats. Attacks such as these are a reminder that this protection only extends so far.', 'Though drone incursions have continued for years, low-flying, low-cost, and unanticipated air threats remain a challenge for air defenders. In January 2024, drone incursions inflicted the first deadly air attack on American soldiers since the Korean War, killing three in Iraq. Between August 2023 and April 2024, just one Army Brigade Combat Team faced 170 drone attacks. While U.S. forces abroad now possess first-generation systems for countering small drones, dense, comprehensive coverage of homeland infrastructure remains further off.', 'These concerns have persisted long before drone attacks became frequent. Two decades ago, U.S. forces in Kuwait struggled to intercept Saddam Hussein’s inaccurate, low-flying cruise missiles, lacking the sensors to detect them at range. In 2015, a disgruntled postal worker flew a low-flying gyrocopter onto the Capitol lawn, penetrating protected airspace undetected. The event, which took place after years of stalled investment in cruise missile defense, prompted soul-searching over the United States’ readiness to detect low-flying drone and cruise missile threats.', 'Since then, the Department of Defense has rushed to deploy countermeasures for small drone threats, particularly for forces stationed abroad. After the earliest counter-drone exercises in 2013, the Army and Marine Corps have outfitted their air defense units with new weapons, like M-LIDS, a radar-and-cannon-equipped truck, or the Coyote interceptor, purchasing 690 rounds at $130,000 apiece in fiscal year 2025. These and other systems have now seen frequent use in the Middle East.', 'However, gaps remain in defending bases and critical infrastructure within the United States. While the Pentagon has started new efforts to scale homeland defense, new widgets alone are insufficient. Deploying systems domestically will demand careful coordination between the Department of Defense, Department of Homeland Security, Federal Aviation Administration, and state and local governments, requiring new legal authorities.', 'Further, while the Department of Defense designated the Army, and its Joint Counter-Small UAS Office (JCO), to synchronize activities and test potential solutions, each military service acquires systems and develops doctrine individually. Increased coordination, however, may be needed when considering more ambitious approaches for homeland drone defense.', 'Finally, efforts to build more training infrastructure, courses, and personnel must be accelerated. As Army Major General Scott Naumann has emphasized, counter-drone training must not be limited to specific personnel, but taught to all—“as routine as drawing our rifles.”', 'Q5: What could this mean going forward?', 'A5: In some respects, the strike is a watershed moment for air warfare. Such a coordinated air attack, covertly launched from deep in enemy territory, has not been performed at such a scale before. Moreover, key elements of the attack were automated. Drones independently located and struck targets, with artificial intelligence trained to visually recognize Russian aircraft. As military strategist T.X. Hammes predicted over a decade ago, off-the-shelf drones achieved strategic effects against larger, traditional air forces.', 'In other dimensions, however, the attack is better understood as a culmination of existing trends. The level of autonomy employed, for instance, has established precedents. The United States has long experimented with automated one-way attack drones, prototyping munitions like the Low Cost Autonomous Attack System (LOCAAS) and related concepts over 20 years ago. Indeed, large militaries already field automated one-way attack drones in the form of anti-ship missiles, which can automatically detect and discriminate targets without external direction.', 'What has changed is perspective and scale. Where wealthier militaries have often viewed drones as complements to ships, aircraft, and other manned platforms, Ukraine has been forced to develop concepts for using them independently. As other CSIS experts have observed, low-cost unmanned systems have allowed Ukraine to employ novel doctrines for special operations. Moreover, the scale of the attack underscores how traditional notions of air superiority break down. Suppressing enemy air forces no longer assures that skies will be safe; there is now an “air littoral”—a domain of lower-altitude, lower-end drone threats—that must be secured. The June 1 attack highlights an ongoing revolution in asymmetric warfare by air.', 'Masao Dahlgren is a fellow with the Missile Defense Project at the Center for Strategic and International Studies (CSIS) in Washington, D.C. Lachlan MacKenzie is a research associate with the Project on Nuclear Issues at CSIS. ', 'Critical Questions is produced by the Center for Strategic and International Studies (CSIS), a private, tax-exempt institution focusing on international public policy issues. Its research is nonpartisan and nonproprietary. CSIS does not take specific policy positions. Accordingly, all views, positions, and conclusions expressed in this publication should be understood to be solely those of the author(s).', '© 2025 by the Center for Strategic and International Studies. All rights reserved.', 'Center for Strategic and International Studies\n\n1616 Rhode Island Avenue, NW\n\nWashington, DC 20036', 'Tel: 202.887.0200\n\nFax: 202.775.3199', 'See Media Page for more interview, contact, and citation details.', '©2025 Center for Strategic & International Studies. All Rights Reserved.']",World,https://news.google.com/api/attachments/CC8iI0NnNVJXVUYwUTB4M1lVZDBTRXhSVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df
‘An epic failure’: Russia reels from surprise Ukrainian attack on bomber fleet,https://www.ft.com/content/132e4327-11da-4412-b36b-7363604879e6,"['Access to eight surprising articles a day, hand-picked by FT editors. For seamless reading, access content via the FT Edit page on FT.com and receive the FT Edit newsletter.', 'Essential digital access to quality FT journalism on any device. Pay a year upfront and save 20%.', 'Complete digital access to quality FT journalism with expert analysis from industry leaders. Pay a year upfront and save 20%.', 'Terms & Conditions apply', 'Discover all the plans currently available in your country', 'Digital access for organisations. Includes exclusive features and content.', 'See why over a million readers pay to read the Financial Times.']",World,https://news.google.com/api/attachments/CC8iI0NnNVJXVUYwUTB4M1lVZDBTRXhSVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df
Politics,https://www.economist.com/the-world-this-week/2025/06/05/politics,"['', '', '', '', '', '', '', 'Ukraine launched a bold attack on airfields deep inside Russia. It launched 117 drones smuggled in containers, including to eastern Siberia, some 4,000km from Ukraine. It claims to have damaged or destroyed at least 41 Russian planes, including strategic bombers, which are difficult to replace. A few days later Ukraine said it had “severely damaged” Kerch bridge, which links Russia with the Crimean peninsula it occupies, with underwater weapons. America’s president, Donald Trump, said that his Russian counterpart, Vladimir Putin, vowed on a call to retaliate against the drone strike.', 'A daily newsletter with the best of our journalism', 'To enhance your experience and ensure our website runs smoothly, we use cookies and similar technologies.', 'Registered in England and Wales. No. 236383 | Registered office: The Adelphi, 1-11 John Adam Street, London, WC2N 6HT | VAT Reg No: GB 340 436 876', '© The Economist Newspaper Limited 2025', '']",World,https://news.google.com/api/attachments/CC8iI0NnNVJXVUYwUTB4M1lVZDBTRXhSVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df
Ukraine ‘well prepared’ for Russian response to drone stunt: Pistorius,https://www.defensenews.com/global/europe/2025/06/04/ukraine-well-prepared-for-russian-response-to-drone-stunt-pistorius/,"['Featured:', 'COLOGNE, Germany — Ukrainian forces are “well prepared” for a Russian response to Sunday’s drone attacks against long-range bombers parked on air bases across Russia, according to German Defense Minister Boris Pistorius.', 'Speaking ahead of a June 4 meeting of the Ukraine Defence Contact Group in Brussels, Pistorius said the scope and timing of a potential Russian counterattack was still unclear. Ukrainian Defense Minister Rustem Umerov was expected to brief allies about options at the gathering, he added.', '“We can only speculate about what the Russian forces and Putin are willing and able to do,” the German defense minister told reporters, referring to Russian President Vladimir Putin. “I believe the Ukrainians are well prepared, in part thanks to the support they are getting from us.”', 'Ukrainian forces orchestrated a daring series of drone attacks on June 1 against Russian warplanes of types previously used to launch missiles into Ukraine from great distances.', 'Officials in Kyiv have said more than 41 Russian military aircraft were destroyed in the attack, a claim that Western news agencies have been unable to verify so far.', 'Satellite imagery showed seven destroyed aircraft — at least three Tu-95 long-range bombers and four Tu-22Ms — at an air base in eastern Siberia alone, the Associated Press reported Wednesday.', 'Russian commanders have used the aircraft, combined with shorter-range attack drones, to strike civilian targets in Ukraine in an effort to grind down the population’s morale, according to Pistorius.', 'Western military officials have started drawing their own lessons from the Ukrainian surprise attack, dubbed “Operation Spiderweb” by Kyiv.', '“This shows us that seemingly impenetrable locations maybe are not,” Air Force Chief of Staff Gen. David Allvin said in Washington on Tuesday. “We need to pay more attention to that.”', 'The idea that high-tech warplanes, concentrated on vulnerable air bases, pose an achilles heel in U.S. war plans has been percolating in Air Force circles for some time.', 'Sebastian Sprenger is associate editor for Europe at Defense News, reporting on the state of the defense market in the region, and on U.S.-Europe cooperation and multi-national investments in defense and global security. Previously he served as managing editor for Defense News. He is based in Cologne, Germany.', 'Defense News © 2025']",World,https://news.google.com/api/attachments/CC8iI0NnNVJXVUYwUTB4M1lVZDBTRXhSVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df
No title found,https://www.wsj.com/world/ukraine-spy-sbu-russia-drone-attack-f78f9713?gaa_at\u003deafs\u0026gaa_n\u003dASWzDAjo1hPYOLh3umNDYWvTYu0BJlUFd0VWFkNfOKU39qKBOZ7FSpLwcY_X\u0026gaa_ts\u003d6842363e\u0026gaa_sig\u003dudeHEC7ICleGlyAVtdAW4A-hrXGn3lHv2jdAGPd8TCXIr1KgFp04DgIY-7ceEuDUeFVrgso73stzWo4FrUPK_g%3D%3D,[],World,https://news.google.com/api/attachments/CC8iI0NnNVJXVUYwUTB4M1lVZDBTRXhSVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df
Russia's 'Pearl Harbor': What to know about Ukraine's audacious drone strike,https://www.usatoday.com/story/news/world/2025/06/02/ukraine-drone-strike-attack-russia-pearl-harbor/83987304007/,"[""WASHINGTON − Ukraine destroyed dozens of enemy bombers using a horde of drones smuggled deep into Russia in a stunning attack that Russian war bloggers are calling Moscow's Pearl Harbor. It was the most damaging Ukrainian attack on Russia in the three years since Moscow invaded."", ""Ukrainian intelligence said the coordinated strikes on June 1 took a $7 billion toll on Russia's military and demolished more than a third of Moscow's strategic cruise missile carriers, including planes capable of carrying nuclear warheads."", 'Ukrainian President Volodymyr Zelenskyy called the massive attack, which he said used 117 drones, his country\'s ""longest-range operation.""', '""It had an absolutely brilliant outcome,"" Zelenskyy said on Telegram. ""Russia has had very tangible losses, and justifiably so.""', 'Oksana Markarova, Kyiv\'s ambassador to the United States, called the attack a ""very successful defensive operation in Russia against Russian aircraft that, on a daily basis, bomb our hospitals and schools and kill our kids.""', 'Speaking at an AI event in Washington, Markarova said it was ""the best example of how innovation can and should work in defense.""', 'With Ukraine set to meet Russia for U.S.-brokered peace talks the next day and amid aggressive Russian advances on the battlefield, the ambitious June 1 attack showed neither side is counting on a breakthrough in negotiations.', '""We hope that the response will be the same as the US response to the attack on their Pearl Harbor or even tougher,"" Russian war blogger Roman Alekhin wrote on Telegram, comparing the Ukrainian strike to the 1941 Japanese raid on a U.S. base in Hawaii.', '“It is impossible to restore these losses,” reported Rybar, a pro-Kremlin Telegram channel.', 'The comparisons between the Ukrainian drone attack and the 1941 Pearl Harbor attack bandied by pro-Russian bloggers were not historically accurate.', ""Japan's Dec. 7, 1941, bombing of the U.S. naval base in Hawaii, which pulled the U.S. into World War II, destroyed and damaged more than 300 American planes and killed more than 2,400 servicemembers, according to the National World War II Museum."", ""Ukraine's drone attack destroyed a tiny fraction of that number of aircraft. No deaths or injuries were reported, although the attack sparked fires in some residential homes and disrupted traffic, according to local officials."", 'The operation, code-named ""Spider\'s Web,"" was characteristic of the style of warfare Ukraine has made its brand as it attempts to undercut Russia\'s larger military – flooding the zone with cheap, deadly drones.', 'But the scope of this attack set a new precedent. The drones, strapped with explosives, were hidden inside the roofs of wooden sheds, which were dropped off by trucks at the outer edge of Russian military bases, a Ukrainian security official told Reuters.', 'The roofs then opened by remote control, unleashing the drones to swarm the military bases.', ""Ukraine's intelligence service said 41 Russian aircraft were hit at four air bases stretching from the Finnish border to Siberia. One targeted base, in the Irkutsk region, lies more than 2,600 miles from the front lines, making it the farthest target Ukraine has hit during the conflict."", 'Russia\'s defense ministry acknowledged in Telegram messages June 1 that drones launched ""from an area in close proximity to airfields resulted in several aircraft catching fire.""', ""The operation came a day after Russia launched a massive overnight attack on Ukraine using 472 drones and seven missiles, according to Ukraine's air force – the most drones launched in one operation throughout the conflict."", 'Separately on June 1, Ukraine struck two highway bridges in Russian regions close to its borders, killing seven people and injuring 69. One bridge collapsed on a train carrying nearly 400 passengers to Moscow, according to Russian investigators.', 'Three of the missiles and 372 drones were downed, the air force said.', 'Ukraine launched the operation a day before Ukraine and Russia will meet for U.S.-mediated negotiations in Istanbul to end the grinding conflict.', 'President Donald Trump has pressed both sides for a ceasefire. Earlier this year, his focus was trained on Ukraine, sparking tension with Zelenskyy that exploded into public view during a combative Oval Office meeting in late February.', ""But in recent weeks, Trump has grown more frustrated with Russian President Vladimir Putin's dug-in position in negotiations."", 'In his starkest criticism of Putin to date, Trump wrote that Putin had ""gone absolutely CRAZY"" after Russia launched a barrage of drones and missiles into Ukrainian cities last weekend that killed a dozen people.', '""I’ve always had a very good relationship with Vladimir Putin of Russia, but something has happened to him. He has gone absolutely CRAZY!"" Trump wrote in a May 25 Truth Social.', 'Trump said days later in the Oval Office that he was ""very disappointed"" that ""people were killed in the middle of what you would call a negotiation.""', ""(This article was updated to correct the misspelling of President Volodymyr Zelenskyy's last name.)""]",World,https://news.google.com/api/attachments/CC8iI0NnNVJXVUYwUTB4M1lVZDBTRXhSVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df
Bloomberg,https://www.bloomberg.com/features/2025-ukraine-drones-explainer/,"[""To continue, please click the box below to let us know you're not a robot."", 'Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading. For more information you can review our Terms of Service and Cookie Policy.', 'For inquiries related to this message please contact our support team and provide the reference ID below.', 'Get the most important global markets news at your fingertips with a Bloomberg.com subscription.']",World,https://news.google.com/api/attachments/CC8iI0NnNVJXVUYwUTB4M1lVZDBTRXhSVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df
Russia’s war on Ukraine intensifies as peace talks appear at dead end,https://www.aljazeera.com/news/2025/6/5/ukraine-war-intensifies-as-peace-talks-appear-at-dead-end,"['Russia lost a third of its strategic bombers as talks stalled, while Moscow’s forces made marginal advances on the front lines.', 'Ukraine has destroyed Russian strategic bombers in an unprecedented undercover drone operation while Russia launched its biggest-yet air raid on Ukraine’s cities and intensified attacks on its northern region of Sumy, when the two sides met for peace talks in Istanbul.', 'The two respective drone operations were emblematic of how direct peace talks, which began on May 15, have not abated the intensity of the conflict and may have deepened it.', 'Russian President Vladimir Putin has reportedly pledged a response.', 'Russia’s drone-and-missile attack on Saturday night involved 472 Shahed kamikaze drones, four cruise missiles and three ballistic missiles. Ukraine neutralised 385 aerial targets, its air force said, including three of the cruise missiles.', 'Ukraine’s operation Spiderweb came a day later, and hit the types of planes Russia has used to launch those cruise missiles – Tupolev-22M3, Tupolev-95 and Tupolev-160, among others.', 'Spiderweb involved 117 drones smuggled into Russia and launched simultaneously near Russian airfields where the bombers were parked.', 'Video released by Ukraine showed Tu-95s exploding in orange flames as the drones passed over them, demonstrating that their fuel tanks were full and they were in service.', 'Ukraine’s State Security Service (SBU), which carried out the operation, told Ukrainian media 41 planes were hit, which, Ukrainian President Volodymyr Zelenskyy said, amounted to “34 percent of the strategic cruise missile carriers stationed at air bases”. The SBU estimated the damage at $7bn.', 'Western military analysts and open-source media had not fully corroborated Ukraine’s story by Wednesday, but fires and explosions were reported at five Russian bases.', 'For the first time, Ukraine claimed to have hit the Olenya airbase in the Russian Arctic, almost 2,000km (1,240 miles) from Ukraine, where all Tu-95 bombers were reported destroyed.', 'Also reportedly struck were the Belaya airbase in Irkutsk, more than 4,000km (2,500 miles) from Ukraine, where three Tu-95 strategic bombers were reported destroyed; the Dyagilevo airbase in Ryazan, only 175km (110 miles) from downtown Moscow; and the Ivanovo airfield, 250km (155 miles) northeast of the Russian capital, where at least one A-50 was destroyed – a $500m airborne radar Russia uses to identify Ukrainian air defence systems and coordinate Russian fighter jet targeting. Fire was reported at a fifth airfield, also near Moscow.', 'Zelenskyy called it “an absolutely brilliant result, an independent result of Ukraine”, and said it had been “a year, six months and nine days from the start of planning”.', 'Russia’s Ministry of Defence admitted that “in Murmansk and Irkutsk Regions, as a result of [First Person View] drones launched from an area in close proximity to airfields, several aircraft caught fire,” but that similar attacks were repelled in Ivanovo, Ryazan and Amur.', 'Russia also said “some participants of the terrorist attacks were detained,” although Zelenskyy said “our people who prepared the operation were withdrawn from Russian territory on time.”', '“Russia regularly deploys Tu-95 and Tu-22M3 to launch … cruise missiles against Ukraine,” wrote the Institute for the Study of War (ISW), a Washington-based think tank, adding, “The downing of Russian A-50 aircraft has previously temporarily constrained Russian aviation activities over Ukraine.”', 'Russian pro-Kremlin Telegram channel Rybar and Ukrainian military observer Tatarigami said Russia no longer builds chassis for Tu-95s and Tu-22s, making them impossible to replace. Bloomberg reported that Russia’s reliance on sanctioned Western components will keep it from putting even damaged aircraft back into service.', 'The New York Times estimated Ukraine may have destroyed or damaged 20 aircraft, but it is possible that not all strike video has yet been posted on open-source media.', '“If even half the total claim of 41 aircraft damaged/destroyed is confirmed, it will have a significant impact on the capacity of the Russian Long Range Aviation force to keep up its regular large scale cruise missile salvoes against Ukrainian cities and infrastructure,” aviation expert Justin Bronk of the Royal United Services Institute told The New York Times.', 'The operation “will force Russian officials to consider redistributing Russia’s air defence systems to cover a much wider range of territory”, said the ISW.', 'Ukraine’s SBU struck again on June 3, damaging the Kerch Bridge, a vital Russian supply line to Crimea, for the third time during the war. Video showed an underwater explosion against one of the bridge’s stanchions, suggesting Ukraine had used an underwater unmanned vehicle.', 'Moscow denied there was any real damage.', 'Marring Ukraine’s success was the news of persistent Russian advances.', 'The most alarming were near the northern city of Sumy, only 30km (20 miles) from the Russian border.', 'Geolocated footage showed that Russian troops took the villages of Konstyantynivka on the border and Oleksiivka, 4km (2.5 miles) from the border, on Sunday.', 'By Tuesday, Russian forces were close enough to launch rocket artillery into the city of Sumy, reportedly killing four people and wounding 30.', '“Rocket artillery against an ordinary city – the Russians struck right on the street, hitting ordinary residential buildings. Sleazebags,” said Zelenskyy.', 'On Sunday, Russian troops also appeared to have seized the settlements of Dyliivka and Zorya, north and west of Toretsk in Ukraine’s east.', 'Geolocated footage indicated that Russian troops had also advanced towards Lyman and Kurakhove, two other key targets in Ukraine’s east.', 'These gains were part of a slow advance that has gone on for more than a year, but they were signs of Putin’s determination to complete his conquest of Ukraine’s east.', 'That determination was on display in Istanbul, where Ukrainian and Russian negotiators met on Monday for a second round of peace talks.', 'Russia presented a ceasefire memorandum that demanded Ukraine formally cede all the territory Russia has taken in Luhansk, Donetsk, Zaporizhia and Kherson, plus the parts of those regions it has not yet seized, which could take years to conquer and come at great cost.', 'Syrskii said Russian casualties this year alone passed the 200,000 mark on Tuesday – a figure Al Jazeera is unable to independently verify.', 'Russia’s memorandum also demanded a limit to the size of Ukraine’s armed forces, and a commitment that Ukraine will neither join foreign military alliances nor allow foreign troops on its soil.', 'It also demanded a Ukrainian election within 100 days of signing the ceasefire agreement, underlining Moscow’s desire to replace the pro-Western Zelenskyy in Kyiv.', 'These demands are consistent with the terms Putin laid out in a speech in June 2024, and Ukrainian negotiators, who had not seen Russia’s memorandum before arriving at the talks at 1pm on Monday, departed after little more than an hour.', 'The two sides did agree to an exchange of at least 1,000 prisoners of war, and possibly as many as 1,200, prioritising the young (18-25) and wounded. They also agreed to an exchange of 6,000 bodies a side.', 'They agreed to hold a third round of talks in the last 10 days of June, with Ukraine’s defence minister, Rustem Umerov, suggesting it involve Putin and Zelenskyy, “because decisions can only be made by those who really make decisions”.', 'Some observers thought it was possible that the two leaders would meet at the first round of talks on May 15, but only Zelenskyy showed up.', '“The Istanbul talks are not for striking a compromise peace on someone else’s delusional terms but for ensuring our swift victory and the complete destruction of the neo-Nazi regime,” explained Dmitry Medvedev, the deputy chairman of Russia’s Security Council, on his Telegram channel.', '“Our army is pushing forward and will continue to advance. Everything that needs to be blown up will be blown up, and those who must be eliminated will be,” he concluded.', 'United States President Donald Trump has refrained from imposing new sanctions on Moscow, but his stance is now losing supporters in the US Congress.', 'Sidney Blumenthal, a former presidential adviser, and Lindsey Graham said they would this week table legislation imposing 500 percent tariffs on any country that imports oil, gas and uranium from Russia. Graham called it “the most draconian bill I’ve ever seen in my life in the Senate.”', 'They made the announcement after a weekend trip to Kyiv and a meeting with French President Emmanuel Macron in Paris.', '“What I learned on this trip was he’s preparing for more war,” Graham said of Putin.', 'The bill would target China and India, which account for the bulk of Russian energy exports, totalling 233bn euros ($266bn) last year, according to a BBC investigation.', 'But it could theoretically include European Union members, who spent a reported 23bn euros ($26bn) on Russian oil and gas last year.', 'A number of EU members sought exceptions from Russian oil bans in early 2023, and the EU has never banned Russian gas, though it has almost completely stopped importing it.', 'Follow Al Jazeera English:']",World,https://news.google.com/api/attachments/CC8iI0NnNVJXVUYwUTB4M1lVZDBTRXhSVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df
Ukraine releases new footage of daring AI strikes that crippled Putin’s bomber fleet,https://www.politico.eu/article/ukraine-releases-new-footage-ai-strikes-drone-russia-putin-bomber-fleet-spiderweb/,"['Kyiv used artificial intelligence to conduct one of the most audacious attacks on Russia in history.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",World,https://news.google.com/api/attachments/CC8iI0NnNVJXVUYwUTB4M1lVZDBTRXhSVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df
,https://www.euronews.com/2025/06/04/kyiv-releases-new-drone-footage-of-operation-spiderweb-as-more-details-emerge,"['We value your privacy', 'We and our partners process data for the following purposes\nActively scan device characteristics for identification, Create profiles for personalised advertising, Create profiles to personalise content, Develop and improve services, Measure advertising performance, Measure audience, Measure content performance, Storage and access to geolocation information for targeted advertising purposes, Storage and access to geolocation information to carry out marketing studies, Store and/or access information on a device, Understand audiences through statistics or combinations of data from different sources, Use limited data to select advertising, Use limited data to select content, Use precise geolocation data, Use profiles to select personalised advertising, Use profiles to select personalised content', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",World,https://news.google.com/api/attachments/CC8iI0NnNVJXVUYwUTB4M1lVZDBTRXhSVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df
