Title,Link,Paragraphs
Amazon Forces RTO 5 Days A Week—Why Do Companies Fear Remote Work?,https://www.forbes.com/sites/rachelwells/2024/09/19/amazon-forces-rto-5-days-a-week-why-do-companies-fear-remote-work/,"['Why are companies like Amazon afraid of remote work to the point of annihilating it altogether, even ... [+]', 'In recent news that has exploded across the internet like wildfire, Amazon has become the latest company to join the ranks of employers mandating a full return-to-office policy, to be actioned on January 2, 2025.', ""According to Amazon CEO Andy Jassy's memo that was shared with CNBC, the organization's senior leadership team wants to make two major shifts with the goal of improving their overall efficiency at work, driving higher performance, removing silos and unnecessarily complicated processes, and empowering a culture of innovation, connection, and rapid growth."", 'Two issues identified from the memo, which Jassy raised, were first, having ""the right organizational structure to drive the level of ownership and speed we desire,"" and second, being ""set up to invent, collaborate, and be connected enough to each other (and our culture) to deliver the absolute best for customers and the business that we can.""', 'What sent shockwaves across social media and the internet was when the CEO announced, as the solution for the second problem, that the company would be initiating not one, not two, not even three or four, but five full days in the office (with the exception being extenuating circumstances or an approved remote work exception).', '""Amazon has announced 5 day RTO, which is unfortunate because I’m interested in working for a living, not live-action role playing and virtue signaling,"" one LinkedIn member and AWS employee posted to LinkedIn. ""If you have remote opportunities available, please message me. Nothing is off the table. I’d rather go back to school than work in an office again,"" he said.', 'When you consider the effects of driving employees to full-time in-office work, it seems pretty counterintuitive when it comes to increasing productivity, morale, and company culture.', 'CEO: C-suite news, analysis, and advice for top decision makers right to your inbox.', '', '', '', 'The numbers are striking:', ""(This data is captured from LiveCareer's Fears and Remote Work report 2024.)"", 'Only 2% of workers claim to enjoy fully on-site work, which demonstrates that an in-office work ... [+]', 'Jake Smith, a CEO of a workspace solutions company, sees both sides of the issue: ""While in-person interaction is valuable for company culture, forcing all employees back full-time could hamper productivity and work-life balance.""', 'Referencing his company, Evo Technologies, Smith said ""we implemented automated solutions like AI agents and smart office software to enable seamless remote work. Productivity increased over 20% as employees gained more flexibility and autonomy. However, we still encourage in-person meetups a few times a month for collaboration.', '""A hybrid model provides the best of both worlds. While technologies enable remote productivity, total return to office risks losing top talent seeking more flexibility. Companies should trust employees and managers to find the right balance for their teams. A one-size-fits-all mandate hampers creativity that thrives with autonomy,"" Smith believes.', 'Andrei Kurtuy, co-founder of resume builder software company Novoresume, believes that Amazon’s recent decision to require employees to return to the office full-time by January 2025 sets a concerning precedent, especially for those who have found remote work more productive and aligned with their personal lives.', 'He weighs in: ""While Amazon claims in-person collaboration enhances innovation and efficiency, many employees have adapted to remote work environments that allow them to focus better and maintain a healthier work-life balance.', '""I think this shift will negatively impact workers who have come to prefer the flexibility and productivity gains of working from home. Forcing them back into a traditional office setting may lead to lower job satisfaction, higher turnover, and challenges in retaining top talent, especially among those who excel in a remote environment. Many industries have proven that remote work doesn’t hinder innovation but, instead, fosters new ways of collaboration with digital tools.', '""Amazon’s move seems out of step with modern work trends, which are increasingly embracing flexibility. While in-office work may benefit some roles, applying a blanket policy could alienate a large portion of the workforce who have thrived remotely.""', 'Forcing employees back to the office sets the precedent for high turnover and lowers performance, ... [+]', 'Why might this be happening? Why are companies who once favored remote work and flexibility during and shortly after the pandemic, returning to pre-pandemic ""ideals"" again?', 'There are several possible reasons.', ""Nicole Martins Ferreira, a product marketing manager at Huntr.co, a job search tool, offers one clue as to what she believes might be a driving motivation for companies of Amazon's size:"", '""Although we know that people tend to be more productive at home than in office, companies of Amazon\'s size might be mandating return to office because they\'re trying to reduce staff size without having to pay severance. Whenever companies announce return to office mandates, employees who prefer remote work tend to quit. This may just be Amazon\'s way of saving costs on headcount,"" she suggests.', 'According to a recent survey of 1,551 U.S. business leaders by Resume Templates, although more than half of employers know that increasing in-office days goes against employee preferences, one in 10 companies are increasing RTO days to drive employees to quit, with half citing it as a strategy to avoid layoffs.', ""SEO strategist Ashot Nanayan, however, views it differently. He believes there might be three core motivators behind Amazon's decision:"", '""Many leaders cling to the notion that innovation thrives in the office, fueled by casual interactions and spontaneous brainstorming,"" he says. ""However, this belief often overlooks the fact that structured remote collaboration can also lead to significant breakthroughs. Companies might fear that without these in-person moments, they will miss out on potential creative sparks, yet this perspective can stifle the diverse ways teams can connect and innovate.""', 'The second reason Nanayan cites is the fear of remote work diluting company culture. ""Corporate culture is often viewed as a cornerstone of a successful organization,"" he explains. ""Yet, this fear can lead to a control-oriented approach, undermining the trust and flexibility that many employees now expect. Organizations that prioritize a strong culture should consider cultivating it in a hybrid setting rather than defaulting to full-time office mandates.""', 'Another possible reason is the assumption that remote work equates to lower productivity, which persists in many corporate environments. ""While some leaders believe that physical oversight ensures accountability, studies show that productivity can thrive outside traditional settings,"" Nanayan says. ""This paradox highlights a lack of trust in employees, which can ultimately harm morale and engagement. Companies need to reassess their success metrics beyond mere presence in the office.""', ""Back to LiveCareer's Fear and Remote work report, it is clear that remote working, even if in a hybrid model, brings undeniable advantages. For example, according to the study, 71% of employees even favor fully remote work, with women (73%) showing a stronger preference than men (63%)."", 'Lack of remote work availability hurts a major segment of the workforce—women', ""It's a tough balancing act for organizations, but if we are to truly move forward and attract more talent—especially diverse talent (and especially women)—it's essential to take a step back and think about what is truly best for our people, even if it means making a compromise with a hybrid model. When a company's people are put first, the bottom line, productivity, and culture will take care of itself."", 'Rachel Wells is a Forbes contributor and freelance writer who covers remote and flexible working, freelancing, side hustles, skill... Read More', 'Rachel Wells is a Forbes contributor and freelance writer who covers remote and flexible working, freelancing, side hustles, skill', 'One Community. Many Voices. Create a free account to share your thoughts. ', '', '', '', '', '', '', '', '', '', '', '']"
Amazon’s CEO Says It’s Time to Get Used to the Daily Commute Again,https://www.investopedia.com/amazon-ceo-says-employees-must-work-5-days-a-week-in-office-8713426,"['Patrick T. Fallon / AFP via Getty Images', 'The future of work might not look as different from its past as we once thought. ', 'In a message to Amazon.com (AMZN) employees, CEO Andy Jassy told the tech and retail giant’s workers that, starting next year, five days a week of in-office work would be the norm.\n1', '“Before the pandemic, it was not a given that folks could work remotely two days a week, and that will also be true moving forward,” Jassy wrote. “Our expectation is that people will be in the office outside of extenuating circumstances.”', 'Amazon’s quite-public announcement—it was published Monday on the company’s website—was the latest development in the post-pandemic evolution of the office. Many companies that were quick to embrace distributed workplaces enabled by technology have rolled things back, though some surveys indicate that remote and hybrid arrangements are still popular among both companies and employees.\n2\n3\n  ', 'The company\'s news was part of a lengthy memo—“Hey team,"" it opened, ""I wanted to send a note on a couple changes we’re making to further strengthen our culture and teams”—that also covered efforts to “flatten” the organization, root out “bureaucracy or unnecessary process,” and rework offices that had been reworked into flexible spaces to accommodate assigned desks.', 'Jassy’s message allowed for the possibility of exceptions, whether for immediate needs (like sick family members) or work-related contingencies (like travel or project-specific work) but made clear that the goal was to get people together. ', '“If anything,"" he said, ""the last 15 months we’ve been back in the office at least three days a week has strengthened our conviction about the benefits.""', '', '', '']"
Amazon orders workers back to the office 5 days a week,https://www.oregonlive.com/business/2024/09/amazon-orders-workers-back-to-the-office-5-days-a-week.html,"[""Employees walk through a lobby at Amazon's headquarters on Nov. 13, 2018, in Seattle. The online retail giant says it will revert to its pre-pandemic practice of requiring employees to work in an office five days a week."", 'Amazon is reverting to its pre-pandemic policy and will require corporate employees to be in the office five days a week starting next year, CEO Andy Jassy said Monday.', 'Jassy said in a message shared with employees that the company’s leadership had been thinking in recent months about how to better “invent, collaborate and be connected enough to each other” to deliver the best results for customers and the business.', 'The company decided that bringing employees back into Amazon offices five days a week instead of the three currently required was a way to address that issue, the CEO said.', '“When we look back over the last five years, we continue to believe that the advantages of being together in the office are significant,” Jassy wrote in the memo, which Amazon also shared on its website. The policy takes effect on January 2, 2025.', 'Like many other companies, Amazon’s corporate employees worked remotely during the COVID-19 pandemic, when the company saw massive gains from a boost in online shopping. In 2021, the tech giant implemented a policy that allowed leaders to determine how their teams worked.', 'In February 2023, Amazon asked all employees to come back to the office for three mandatory days, resulting in some protests from workers.', 'A few months later, Jassy said employees who were not happy about the change should learn to “disagree and commit.” He also issued somewhat of a subtle threat, saying it was “probably not going to work out” for those who refused to do so.', 'RECOMMENDED•OREGONLIVE.COM', 'Readers respond: Elect Keith Wilson mayorSep. 19, 2024, 8:00 p.m.', 'What TV channel is Thursday Night Football on tonight? Jets vs Patriots on Prime Video kickoff time, free livSep. 19, 2024, 2:46 p.m.', 'In his note on Monday, Jassy said the company has observed that it is easier for employees to “learn, model, practice and strengthen” Amazon’s culture and brainstorm when they’re together in person.', '“If anything, the last 15 months we’ve been back in the office at least three days a week has strengthened our conviction about the benefits,” he said.', '-- Haleluya Hadero, The Associated Press', 'If you purchase a product or register for an account through a link on our site, we may receive compensation. By using this site, you consent to our User Agreement and agree that your clicks, interactions, and personal information may be collected, recorded, and/or stored by us and social media and other third-party partners in accordance with our Privacy Policy.', 'Use of and/or registration on any portion of this site constitutes acceptance of our User Agreement, (updated 8/1/2024) and acknowledgement of our Privacy Policy, and Your Privacy Choices and Rights (updated 7/1/2024).', '© 2024 Advance Local Media LLC. All rights reserved (About Us).\nThe material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Advance Local.', 'Community Rules apply to all content you upload or otherwise submit to this site.', ""YouTube's privacy policy is available here and YouTube's terms of service is available here."", 'Ad Choices', '', '', '']"
"Amazon Plans to Have Fewer Managers, More Days in Office",https://www.pymnts.com/amazon/2024/amazon-plans-to-have-fewer-managers-more-days-in-office/,"['Amazon plans to reduce the number of managers in each of its organizations and to require employees to work primarily in an office.', 'The company is making these changes as part of its efforts to “operate like the world’s largest startup,” Amazon CEO Andy Jassy wrote in a message shared with the company’s employees and posted online Monday (Sept. 16).', 'In the case of managers, Amazon aims to flatten organizations by asking each of its S-teams, or senior leadership teams, to increase the ratio of individual contributors to managers by at least 15% by the end of the first quarter of 2025, according to the message.', 'As the company grew its teams over the last several years, it also added managers and more layers than it had before, per the message. This has led to more meetings and more managers reviewing topics before they move forward.', '“If we do this work well,” Jassy said of the move to have having fewer managers, “it will increase our teammates’ ability to move fast, clarify and invigorate their sense of ownership, drive decision-making closer to the front lines where it most impacts customers (and the business), decrease bureaucracy, and strengthen our organizations’ ability to make customers’ lives better and easier every day,” Jassy wrote.', 'Amazon began a series of layoffs in November 2022, with Jassy saying at the time that the company had hired rapidly over the previous several years. In January 2023, he said the number of layoffs would amount to more than 18,000.', 'On the issue of working from an office, Amazon is going to return to the practices it had before the pandemic, according to the message. That means employees being in the office except in “extenuating circumstances” like when their child is sick, there’s an emergency at home, they’re visiting customers or partners, or they need a day or two to finish coding in a more isolated environment, Jassy wrote.', 'Over the last 15 months, employees have been back in the office at least three days a week, per the message. But now it will no longer be “a given” that they can work remotely two days a week. This change will take effect Jan. 2.', 'Jassy wrote in the message that working from an office will make Amazon’s teams “better set up to invent, collaborate, and be connected enough to each other and our culture to deliver the absolute best for customers and the business.”', 'It was reported in July 2023 that Amazon was ramping up its return-to-the-office mandate by requiring employees working remotely or in smaller remote offices to return to the company’s “main hub” locations.', 'Klarna has added a chat-based shopping experience to its artificial intelligence (AI) assistant designed to help consumers shop.', 'The company has also added more features to the AI assistant, which is powered by OpenAI, Klarna said in a Thursday (Sept. 19) press release.', '“For decades, the tech industry assumed that the online shopping experience was tied up by a small number of massive tech players, which led to underinvestment,” David Fock, chief product and design officer at Klarna, said in the release. “That’s created an opportunity for companies like Klarna, and we are enlisting AI to challenge the incumbents.”', 'Klarna’s AI assistant now provides a chat interface that helps shoppers search for specific products or brands, access key product insights and identify products based on their preferences, according to the release.', 'The AI assistant also helps shoppers compare products; research activities like skiing or rollerblading and discover recommended products; and find products that match the shopper’s requirements in terms of pricing, availability and delivery, per the release.', '“Klarna is at the forefront of seizing the potential of AI to deliver tangible benefits to customers,” Brad Lightcap, chief operating officer at OpenAI, said in the release. “We’re excited to continue collaborating and showing the power of AI at scale.”', 'Klarna said in March 2023 that it was working with OpenAI to use ChatGPT as a personal shopping assistant.', 'Generative AI is poised to transform the retail experience for consumers, according to the PYMNTS Intelligence and AI-ID collaboration, “What Generative AI Has in Store for the Retail Industry.”', 'The report found that 77% of retailers rank generative AI as the most impactful emerging technology.', 'Klarna also uses AI assistants to handle customer service tasks and to answer employees’ questions.', 'The company said in May that its internal AI assistant, Kiki, was being used by 85% of its employees; was answering 2,000 employee questions per day; and had responded to more than 250,000 inquiries since it was launched about a year earlier.', 'Klarna has another AI chatbot that fields two-thirds of its customer service chats; contributes to consumers resolving their issues in less than one-fifth the time it took previously; and takes on the labor of 700 employees.', 'We’re always on the lookout for opportunities to partner with innovators and disruptors.']"
"I work at Amazon, and I plan on 'coffee badging' instead of working from the office 5 days a week",https://www.businessinsider.com/amazon-rto-employee-coffee-badging-office-2024-9,"['This as-told-to essay is based on a conversation with an Amazon worker in Germany who was granted anonymity to protect his privacy. His identity and employment have been verified by Business Insider. The following has been edited for length and clarity.', 'Amazon notified all employees on Monday about the new return-to-office mandate requiring us to come into the office five days a week starting in January.', 'My entire team was very shocked and worried. Some people want to leave the company. This is a betrayal to many people, especially those who were hired as remote workers, and it is eroding our trust.', ""Before Amazon made the announcement this week, I already had a feeling that a stricter return-to-office mandate was coming in 2025. That's because the leadership had made it very clear through the last mandate that this was the direction it was going to take, and in the past few months, things have become much stricter."", ""In Germany, Amazon in June started enforcing the mandate that requires us to be in the office three days a week, but unlike in the US, we aren't required to come in for a certain number of hours a day. People are still trying to adjust to the last return-to-office push."", ""I live very close to the office, so I'm not personally so worried about having to do another two days in the office because I can just come in and swipe my badge, stay for 15 minutes, and go back, so we still have some flexibility."", ""Amazon employees blast new RTO policy in internal messages: 'Can I negotiate my manager to PIP me?'"", ""Amazon's strict new RTO rule creates an awkward situation for One Medical"", ""I think the return-to-office policy is being used as a tool to carry out silent layoffs, as I've seen many bright engineers leave the company since the last mandate."", 'People are definitely terrified about what this will mean for them. A few colleagues have told me they are considering leaving the company, even for lower-paying jobs.', 'Having a flexible remote-working policy did not have a big impact on productivity. If you create an atmosphere of growth and drive people, they will always deliver, regardless of where they work.', ""I think this has been sufficient as long as people do their jobs to the best of their abilities. I see the value in coming together occasionally and brainstorming, but it's unnecessary to always work from the office."", 'The new mandate will be difficult for many people who moved away from the office during the pandemic, have childcare commitments, or experience social anxiety.', ""Apart from the RTO announcement, I found out in the news that Amazon plans to increase the ratio of individual contributors to managers at least 15% by the end of next year's first quarter. It was a surprise because we already have a resource crunch. We have fewer people doing a lot more work, which has meant that I, and some other employees, have felt unhappy."", 'Now with Amazon wanting to increase the ratio of individual contributors to managers, things may get very difficult for employees. On many teams, there are between eight and 12 people managed by one person; ideally, it would be six people under one manager. So some managers are already overburdened.', ""If Amazon ends up cutting middle managers, it would affect everyone because one manager overseeing so many people would mean that you don't have enough time to have conversations around career development and that you can't work on innovation or stakeholder engagement."", ""The consensus among other Amazon employees I've spoken with is that they plan to leave when the economy and job market improve. They are already frustrated and under a lot of stress, and the new RTO policy and worries that there may be job cuts are increasing the tension."", 'I think other Big Tech companies will follow suit and require employees to return to the office five days a week, too.\n\nA spokesperson for Amazon told BI they observed that being in the office together makes it easier for employees to learn, model, collaborate, and be better connected to one another. They added that the return-to-office guidance was an effort to strengthen its culture.', ""Correction: September 18, 2024 — An earlier version of this story misdescribed Amazon's plan to cut managers. It plans to increase the ratio of individual contributors to managers by at least 15% by the end of next year's first quarter, not cut 15% of middle managers.\n\nAre you a tech worker with insight to share? Contact the reporter, Jyoti Mann, via the encrypted messaging app Signal (jyotimann.11) or email (jmann@businessinsider.com) from a nonwork device."", ""Amazon employees blast new RTO policy in internal messages: 'Can I negotiate my manager to PIP me?'"", ""Amazon's strict new RTO rule creates an awkward situation for One Medical"", 'Amazon drops the hammer on remote work and orders employees back to the office 5 days a week starting in January', 'Jump to']"
"Amazon back-to-office policy 'a bummer' for Singapore employees, but more tech firms could follow suit",https://www.channelnewsasia.com/singapore/amazon-back-office-policy-bummer-singapore-employees-more-tech-firms-could-follow-suit-4617431,"['', 'Singapore', 'Hybrid work arrangements could become a differentiating factor for smaller tech firms in attracting talent, industry observers say.', 'This audio is generated by an AI tool.', ""SINGAPORE: Amazon's decision to end its hybrid work policy and return to the office five days a week did not go over well with staff, the tech giant's Singapore employees told CNA."", '“There was this dire feeling that it might happen (eventually),"" one employee who spoke on condition of anonymity said. But he didn\'t think the company would go ahead given the global trend of remote working.', ""Industry observers said Amazon's move likely signals a gradual shift by tech companies to more work-from-office days."", 'This will have a big impact on employee retention and recruitment, and hybrid work arrangements could become a differentiating factor for smaller tech firms in attracting talent, they added.', 'Earlier this week, Amazon said employees will be required to return to working at company offices five days per week beginning next year, toughening a prior three-day mandate.', 'Amazon has more than 2,000 workers across its business units in Singapore. In May, it announced plans to invest S$12 billion (US$8.88 billion) in Singapore by 2028 to expand its cloud computing infrastructure here.', 'The Amazon Singapore employee who spoke to CNA said staff had got used to hybrid working and the move to return to the office full-time runs counter to what other companies are doing.', '“With everybody else in the market trimming office space and then suddenly Amazon is doing this, it didn’t sit quite well with a lot of people,” he said.', 'The hybrid model has been particularly helpful for employees who have children and those taking care of aged parents, he added.', 'Another employee said that there was some anger and uncertainty among staff on the day of the announcement, but also bemusement in the days that followed with the amount of news coverage globally.', 'Within the tech industry, there has been a “buzz” that employees would eventually have to return to offices, she said. “It wasn’t really surprising, it was (more of) when it would happen.” ', 'Veteran recruiter Neil Dyball, managing director of Hudson Singapore, said that other large tech firms would follow Amazon’s cue, but not immediately.', '“As so many large tech companies got rid of their real estate, they just do not have the space right now to have their teams back” in the office full-time, he said.', 'Amazon’s Singapore office opened a new location a few months ago, so the company is in a “different position” to demand that staff work from the office.', 'It is one of the anchor tenants of IOI Central Boulevard Towers, reportedly leasing 369,000 sq ft in the new office development that opened in the central business district earlier this year.', 'He added that larger multinational corporations and those in the financial industry have been unofficially auditing productivity and work times over the past year or more, to help validate a decision on a full return to the office.', 'But going forward, smaller tech firms will use hybrid work to differentiate themselves from larger firms.', 'This is also because these firms no longer have the “inflated” valuations that allowed them to attract talent through compensation, said Mr Dyball.', 'Other observers expected tech companies to return to having more days in the office, but keep flexibility in the form of one or two remote work days or flexible start and end times, as this is what employees now expect.', '""When we look back over the last five years, we continue to believe that the advantages of being together in the office are significant,"" CEO Andy Jassy wrote in a letter to employees globally on Monday.', 'He said the experience of a three-day mandate ""strengthened our conviction about the benefits"" of in-office work.', '""We\'ve observed that it\'s easier for our teammates to learn, model, practice and strengthen our culture; collaborating, brainstorming and inventing are simpler and more effective; teaching and learning from one another are more seamless; and teams tend to be better connected to one another."" ', 'He also said Amazon wants to “operate like the world’s largest startup”, and that means being “joined at the hip with your teammates when inventing and solving hard problems”.', 'Other companies known for their “hustle culture”, such as Bytedance – the parent company of TikTok – already require employees to work from the office every day, said Mr Ethan Ang, co-founder of tech talent platform Nodeflair.', 'However, not all experts agree.', 'Amazon’s move is “quite surprising” as it goes against the trend of hybrid work becoming normalised, said Mr Sachet Sethi, senior manager of tech and transformation at headhunting firm Robert Walters Singapore.', 'A full return to the office will make it difficult to recruit and retain talent. It can also affect the number of productive hours employees have, as some may have to commute long distances, tiring themselves out, he said.', 'Employees will feel that the management does not trust them and is micromanaging them. Having to be in the office every day could also cause them to feel tired or burnt out, said Mr Sethi.', 'In an interview with the Guardian, one of the world’s leading experts on workplace organisation, health and well-being called employers who force staff to return to the office five days a week the “dinosaurs of our age”.', '“If you value and trust people to get on with their job, and give them autonomy – and flexible work is one of those – they’ll work better, you’ll retain them and they will be less likely to have a stress-related illness,"" said Professor Cary Cooper, who is known for coining the term ""presenteeism"".', '“If you micromanage, you won’t get productivity gains, and you won’t attract the next generation.”', 'One of the Amazon employees CNA spoke to said that as many had joined the company during the pandemic, this hybrid work model has been all they have known and the change would take getting used to.', 'But she also pointed out that it is a “privilege” to have the option of working from home.', '“I didn’t sign up for the job because it was hybrid,” she said. ', '“Obviously (the change) would disturb my lifestyle, it would disturb some of the things I used to do but I’ll just take it and handle it along the way. If it really becomes such a pain point, I’ll just find another job that offers flexibility.”', 'Mr Jassy said that to accommodate the lifestyle changes necessary, the new policy would start on Jan 2 next year.', 'However, the employee CNA spoke to said the lead time to make changes is “quite short” given that many have built a lifestyle around hybrid work.', 'This could be “very, very disruptive”, in particular for those whose schedules incorporate personal commitments, he said.', 'Nodeflair’s Mr Ang said that while salary and job scope are still the most important factors when choosing an employer, the platform’s data suggests that about 70 per cent of employees treat hybrid work arrangements as “non-negotiable”.', ""After a wave of layoffs in 2023, Amazon was reported to have 300,000 to 350,000 corporate employees globally. This number is separate from their warehouse and delivery workers, who make up a much larger portion of Amazon's total workforce of about 1.5 million."", 'The company continued to cut jobs earlier this year. US media has reported that some critics fear the latest work-from-office mandate may allow the company to further reduce its workforce without official layoffs.', 'Mr Sethi said it is “difficult to say whether it is a strategic move or protecting the company culture”.', 'While putting the focus back on teamwork and working quickly, “it might also encourage people to intentionally resign as they can’t be in (the) office physically due to personal commitments”.', 'Ultimately while it is “quite a bummer” to have to return to the office five times a week instead of three, the two Amazon Singapore employees CNA spoke to had no plans to quit. ', 'But not everybody shares the same sentiment, given how the new ruling could affect them in different ways, one said.', '“At the end of the day, I’m looking for career prospects,” he said. “(But among others), there are talks of when the time comes, we take our stocks and we leave.”', 'The second employee said the return-to-office mandate was ""not so concerning"" for her.', '“It’s down to individuals. It’s really what your wants and needs (are). If it is really misaligned, it will force you out.”', '', '', '', '', 'Copyright© Mediacorp 2024. Mediacorp Pte Ltd. All rights reserved.', '', '', '']"
Is Amazon silently laying off employees? 'Silent sacking is a five-phase plan',https://www.hindustantimes.com/business/is-amazon-silently-laying-off-employees-silent-sacking-is-a-five-phase-plan-101726718480304.html,"[""Software engineer John McBride who used to work with Amazon Web Services (AWS) before quitting said that the tech giant is trying to reduce its workforce using its new work from office mandate. The Colorado-based engineer- who worked with Amazon for a year until June 2023- reflected on company CEO Andy Jassy's announcement of return to office rule and said that it should not have surprised anyone who has been paying attention to how the company has been functioning for years."", ""He wrote, “Ultimately, it comes down to taxes and economics.” Talking about Amazon's five phase plan, John McBride said the first phase was laying off 30,000 employees, the second was starting return-to-office mandate and the third is “return to team” where employees had to work from offices where their team was physically located."", 'He said, “I went into the Denver office near me, a 20-minute commute.” Even John McBride had to move to Seattle as he said that “many, many people left during this phase. This is when I personally left in 2023 because I wouldn’t relocate to Seattle.”', ""After this was “silent sacking” which “If you managed to somehow stick around this long, your work life would be made incredibly unsatisfying and cumbersome: you'd be left out of in-person meetings, you'd be stiff-armed by management, you wouldn't be given interesting or meaningful work, etc. And finally, Phase 5: death of remote. Everyone must sit at a desk in a physical office where your team is located”, as per John McBride."", '', '', '', '', '']"
"Sorry, you have been blocked",https://www.geekwire.com/2024/the-way-we-were-amazon-tries-to-rekindle-its-future-by-rediscovering-a-spark-from-the-past/,"['This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data.', 'You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page.', 'Cloudflare Ray ID: 8c60157149167e9c • Your IP: Click to reveal • Performance & security by Cloudflare']"
Amazon tells workers they must come to the office 5 days a week,https://www.cnn.com/2024/09/16/business/amazon-return-to-work/index.html,"['Markets', '', 'Fear & Greed Index', 'Latest Market News', '', '', 'Amazon is demanding that its corporate employees return to the office five days a week, a significant change from its current pandemic-era hybrid policy that requires them to be in the office just three days a week.', 'CEO Andy Jassy made the announcement about the new policy Monday, writing that the change will help its thousands of employees “invent, collaborate, and be connected enough to each other and our culture to deliver the absolute best for customers and the business.”', 'The new policy takes effect on January 2, 2025.', 'Jassy has previously advocated that employees work in the office, writing that a physical presence improves company culture.', '“It’s not simple to bring many thousands of employees back to our offices around the world, so we’re going to give the teams that need to do that work some time to develop a plan,” Jassy wrote in a previous 2023 memo.', 'He maintained that position more than a year later, writing in Monday’s memo that “we continue to believe that the advantages of being together in the office are significant” and that he’s “observed that it’s easier for our teammates to learn, model, practice, and strengthen our culture; collaborating, brainstorming, and inventing are simpler and more effective; teaching and learning from one another are more seamless; and, teams tend to be better connected to one another.”', 'If Amazon employees didn’t follow the current policy, it could hurt their chances of being promoted, and exceptions for working from home will be subjected to an additional layer of leadership approval.', 'Amazon has faced some employee resistance to this mandate. Last year, some corporate workers staged a walkout at its Seattle headquarters, citing multiple grievances, including the push to get workers back in the office at least three days a week. The walkout in May 2023 also occurred months after the company confirmed it was laying off some 27,000 workers over multiple rounds of cuts.', 'Although companies in certain sectors, particularly on Wall Street, have emphasized a full return, companies have largely let up on demanding that employees work five days a week in the office. Just 4% of US CEOs and 4% of CEOs worldwide at the beginning of the year said they will prioritize bringing workers back to the office full time, according to a CEO survey from The Conference Board.', 'Most stock quote data provided by BATS. US market indices are shown in real time, except for the S&P 500 which is refreshed every two minutes. All times are ET. Factset: FactSet Research Systems Inc. All rights reserved. Chicago Mercantile: Certain market data is the property of Chicago Mercantile Exchange Inc. and its licensors. All rights reserved. Dow Jones: The Dow Jones branded indices are proprietary to and are calculated, distributed and marketed by DJI Opco, a subsidiary of S&P Dow Jones Indices LLC and have been licensed for use to S&P Opco, LLC and CNN. Standard & Poor’s and S&P are registered trademarks of Standard & Poor’s Financial Services LLC and Dow Jones is a registered trademark of Dow Jones Trademark Holdings LLC. All content of the Dow Jones branded indices Copyright S&P Dow Jones Indices LLC and/or its affiliates. Fair value provided by IndexArb.com. Market holidays and trading hours provided by Copp Clark Limited.', '© 2024 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.\nCNN Sans ™ & © 2016 Cable News Network.', '', '', '']"
Amazon to cut down on managers to strengthen culture,https://www.cio.com/article/3526467/amazon-to-cut-down-on-managers-to-strengthen-culture.html,"['', 'Three years after replacing Jeff Bezos, Amazon CEO Andy Jassy is still busy refining the organizational structure and processes at the online giant. In a memo to Amazon’s workforce, Jassy has announced, among other things, an end to hybrid work and a commitment to further squeeze out bureaucracy by flattening the organizational hierarchy.', 'Jassy aims to streamline Amazon bureaucracy by increasing the ratio of employees to managers by at least 15% by the end of the first quarter of 2025 — which is to say, within the next six months.', '“Having fewer managers will remove layers and flatten organizations more than they are today,” he explained. “If we do this work well, it will increase our teammates’ ability to move fast, clarify and invigorate their sense of ownership, drive decision-making closer to the front lines where it most impacts customers (and the business), decrease bureaucracy, and strengthen our organizations’ ability to make customers’ lives better and easier every day.”', 'In this context, Jassy referred to various grievances that are to be eliminated, such as:', '“Most decisions we make are two-way doors, and as such, we want more of our teammates feeling like they can move fast without unnecessary processes, meetings, mechanisms, and layers that create overhead and waste valuable time,” said the Amazon CEO.', 'Jassy also pointed out that he has set up a “bureaucracy mailbox” in which Amazon employees can post examples of unnecessary or overly bureaucratic processes.', '', '', '', '', '', '', 'Sponsored Links']"
