Title,Link,Paragraphs
Harris secures Nancy Pelosi's backing for her White House run,https://news.google.com/articles/CBMiZWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL3VzL2JhY2tlZC1ieS1iaWRlbi1oYXJyaXMtc2NyYW1ibGVzLWxvY2stdXAtd2hpdGUtaG91c2UtYmlkLTIwMjQtMDctMjIv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"['Get weekly news and analysis on the U.S. elections and how it matters to the world with the newsletter On the Campaign Trail. Sign up here.', 'Reporting by Trevor Hunnicutt in Wilmington, Nandita Bose and Jeff Mason; Additional reporting by Jarrett Renshaw, Steve Holland, Susan Heavey, Doina Chiacu, Kat Stafford, Moira Warburton, Bo Erickson and Joseph Campbell; Writing by Joseph Ax and Mary Milliken; Editing by Scott Malone, Howard Goller and Stephen Coates', 'Our Standards: The Thomson Reuters Trust Principles.\n, opens new tab', 'Taiwan curtailed its annual Han Kuang war games on Tuesday as Typhoon Gaemi barrelled towards the island, and is expected to bring strong winds and torrential rain.', ""Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."", 'Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology.', 'The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.', 'The industry leader for online information for tax, accounting and finance professionals.', 'Access unmatched financial data, news and content in a highly-customised workflow experience on desktop, web and mobile.', 'Browse an unrivalled portfolio of real-time and historical market data and insights from worldwide sources and experts.', 'Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.', 'All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.', '© 2024 Reuters. All rights reserved']"
Harris Clinches Majority of Delegates as She Closes In on Nomination,https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDcvMjIvdXMvcG9saXRpY3Mva2FtYWxhLWhhcnJpcy10cnVtcC0yMDI0LWVsZWN0aW9uLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,"['Biden Campaign', 'ADVERTISEMENT', '', 'On her first full day in the race, Kamala Harris drew endorsements from her final possible rivals, hauled in record sums of cash and attacked Donald Trump.', 'NEW', 'Listen to articles', 'Tap the Play button at the top of any article to hear it read aloud.', '', '', 'By Shane Goldmacher and Reid J. Epstein', 'Vice President Kamala Harris moved swiftly to assert herself as the de facto Democratic nominee for president on Monday as virtually every potential remaining rival bowed out and a majority of delegates endorsed her by the end of her first full day as a candidate, all but clearing her path to the nomination.', 'The Associated Press said late Monday that Ms. Harris had secured the backing of more than the 1,976 delegates needed to win the nomination in the first round of voting. The pledged support is not binding until the delegates cast their votes, which party officials said would take place between Aug. 1 and Aug. 7.', 'With barely more than 100 days until the election, Ms. Harris immediately pressed her case against former President Donald J. Trump during a visit to her new campaign headquarters, invoking her early career as a prosecutor who took on “predators” and “fraudsters.”', '“Hear me when I say, I know Donald Trump’s type,” she said to cheers.', 'The vice president compared her day-old campaign to the civil rights and voting rights battles of the past, placing it on a continuum with “abolitionists and suffragettes.” And she said that Mr. Trump’s potential return would undo some of those victories and take the country backward.', 'ADVERTISEMENT', '“We are not going back,” she said.', 'Behind the scenes, Ms. Harris was moving just as quickly to take control of a sprawling political apparatus that just a day earlier had belonged to President Biden.', 'Ms. Harris tapped former Attorney General Eric H. Holder Jr., who once oversaw Barack Obama’s vice-presidential vetting, to oversee her choice of a potential running mate, according to two people briefed on the matter.', 'Two of Ms. Harris’s top political advisers, Sheila Nix and Brian Fallon, joined the Monday morning call of senior staff members on the Biden-turned-Harris campaign — a sign of her team’s widening footprint inside the operation.', 'Later in Wilmington, Del., Ms. Harris herself told the assembled staff members that she had asked the current campaign leadership, including the chair, Jen O’Malley Dillon, to stay on and that Ms. O’Malley Dillon had accepted.', '“We are one team, one fight,” Ms. Harris said.', 'Across Washington and beyond, there was widespread talk of whom Ms. Harris might bring in to supplement the current team. A former campaign manager for Mr. Obama, David Plouffe, fueled rumors when he appeared on MSNBC’s “Morning Joe” and expressed openness to joining the campaign.', 'ADVERTISEMENT', '“All of us who want to see Kamala Harris elected president and Donald Trump not elected to the White House will do whatever we need to,” said Mr. Plouffe, who did not respond to a request for comment.', 'Ms. Harris’s most immediate task had been to secure the support of enough Democratic delegates to lock down the nomination. A Google form asking delegates to endorse her had circulated among those key Democrats, who include party officials, lawmakers, local activists and volunteers.', 'The next step in the party’s formal nomination of Ms. Harris will come on Wednesday, when the rules committee of the Democratic National Convention is scheduled to meet to set a date for a virtual roll-call vote of the state delegations. On a call with reporters on Monday night, Jaime Harrison, the chairman of the Democratic National Committee, said the party’s presidential nominee would be selected by Aug. 7 to avoid legal risks from ballot deadlines.', '“We will deliver a presidential nominee by Aug. 7 of this year,” Mr. Harrison said.', 'The party’s convention is set to begin on Aug. 19 in Chicago.', 'Senator Laphonza Butler of California, a key Harris ally who spoke to the vice president on Sunday, said the vice president’s first goal had been “securing the delegates that are necessary and making sure the team is solid.”', 'ADVERTISEMENT', '“She takes nothing for granted,” Ms. Butler said. “She is going to do the work and she is committed to winning.”', 'Ms. Harris spent more than 10 hours on Sunday working the phones, dialing more than 100 party leaders, according to a person briefed on her activity. On her Monday trip to Wilmington, Ms. Harris was accompanied by Tony West, her brother-in-law and a former top Justice Department official who is now the chief legal officer for Uber. Mr. West also spent the weekend with Ms. Harris.', 'One of the leaders Ms. Harris spoke to on Sunday was the Rev. Al Sharpton, the influential civil rights figure.', 'Our politics reporters. Times journalists are not allowed to endorse or campaign for candidates or political causes. That includes participating in rallies and donating money to a candidate or cause.', '“She said, ‘Now I’m going to pick up the baton and go forward and save the legacy of what we are all doing,’” he recalled her telling him.', 'ADVERTISEMENT', 'Mr. Sharpton, who has crossed Mr. Trump for decades in the cutthroat world of New York politics, said he warned Ms. Harris: “You cannot get ready for a prize fight. This is a street fight.”', '“‘I’m prepared for that,’” he said she replied.', 'Any momentum toward a competitive nominating contest appeared to melt away early Monday when a half-dozen Democratic governors quickly fell into line behind Ms. Harris — among them Andy Beshear of Kentucky, JB Pritzker of Illinois, Wes Moore of Maryland and Gretchen Whitmer of Michigan.', 'They were soon followed by former Speaker Nancy Pelosi.', 'What had been the Biden re-election website was taken offline, replaced for now by a donation portal for Ms. Harris as a new Harris for President logo was unveiled.', 'Democrats were delighted by the jolt of energy, with donors flocking to give after Mr. Biden’s exit: The Harris campaign announced on Monday that it had raised $81 million in her first 24 hours, a record sum, from 888,000 unique contributors.', 'It wasn’t just small donors, either. The leading pro-Biden super PAC, Future Forward, which has become a pro-Harris operation, said that it had unlocked $150 million in the last day with $60 million in new pledges, plus $90 million that had previously been frozen while Mr. Biden’s fate hung in the balance.', 'ADVERTISEMENT', 'On Monday, more than 300 past donors to Ms. Harris gathered to discuss how to support her. Among those who spoke was Eleni Kounalakis, the lieutenant governor of California, a longtime Harris backer.', '“People are aware it is going to be a battle every day,” Ms. Kounalakis said in a brief interview, “and we are going to be on battlefield every day.”', 'In a positive sign for her campaign, Ms. Harris appears likely to be publicly embraced by some allies who had shied away from Mr. Biden as he grew more politically toxic.', 'Senator Tammy Baldwin of Wisconsin is set to appear with Ms. Harris at her scheduled rally on Tuesday in Milwaukee, according to Andrew Mamo, a spokesman for Ms. Baldwin. When Mr. Biden held a rally in Madison two weeks ago, Ms. Baldwin held her own event in a different corner of the state 170 miles away.', 'For his part, Mr. Trump appeared to be somewhat frustrated as he watched news coverage of Democrats lining up behind Ms. Harris. He complained on his social media site that Mr. Biden was being cast as “heroic because he quit!” and that Ms. Harris was “totally failed and insignificant.”', 'ADVERTISEMENT', 'The quick consolidation behind Ms. Harris actually mirrored how the party had first united behind Mr. Biden in 2020 after he won the South Carolina primary election. Then, Mr. Biden went from a candidate struggling for survival to the presumptive nominee within days.', 'In Washington, the political chatter about whom Ms. Harris might select as her running mate accelerated with the news that she had tapped Mr. Holder to vet her options. He will lead a team from his law firm, Covington & Burling, which will conduct the research.', 'Running-mate speculation swirled after Julie Chavez Rodriguez, Mr. Biden’s campaign manager, shared two posts on X that appeared to promote Senator Mark Kelly, Democrat of Arizona, as a possible choice.', 'Ms. Chavez Rodriguez later deleted the posts. A Harris campaign official said they were made in error.', 'ADVERTISEMENT', 'Meanwhile, the field of potential vice-presidential picks began to take shape. Ms. Whitmer told a TV reporter in Michigan that she would not entertain joining the ticket. Mr. Beshear appeared on “Morning Joe,” a TV show favored by Mr. Biden and many in his orbit. Gov. Tim Walz of Minnesota was due for a round of cable TV interviews on Monday night and Tuesday morning, during which he planned to explain the party’s nominating process and promote his own political biography.', 'Gov. Jared Polis of Colorado said in an interview on CNN that he did not expect a call.', '“Look, if they — if they do the polling and it turns out that they need a 49-year-old, balding, gay Jew from Boulder, Colo., they got my number,” he joked.', 'Still, the challenge of finding a suitable and complementary partner was real. Mr. Biden had long performed most strongly in the northern, heavily white battlegrounds of Michigan, Pennsylvania and Wisconsin.', 'It was not yet clear if or how Ms. Harris would shake up the Electoral College map, as a barrier-breaking candidate — she would be the first woman, first Black woman and first person of South Asian descent to serve as president — who could mobilize more diverse communities across the Sun Belt in Nevada, Arizona and Georgia.', 'Mr. Biden has not been seen in public since he tested positive for Covid last week and returned to his home in Delaware to isolate and recuperate. But on Monday, he dialed into Ms. Harris’s event at what had just been his campaign headquarters, appearing as a disembodied voice to urge her on.', '“I am watching you, kid!” Mr. Biden, 81, said to Ms. Harris, 59. “I love ya!”', 'Nicholas Nehamas contributed reporting.', 'Shane Goldmacher is a national political correspondent, covering the 2024 campaign and the major developments, trends and forces shaping American politics. He can be reached at shane.goldmacher@nytimes.com. More about Shane Goldmacher', 'Reid J. Epstein covers campaigns and elections from Washington. Before joining The Times in 2019, he worked at The Wall Street Journal, Politico, Newsday and The Milwaukee Journal Sentinel. More about Reid J. Epstein', 'ADVERTISEMENT', '']"
Kamala Harris earns enough delegate support to become Democratic nominee,https://news.google.com/articles/CBMiWmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzL2FydGljbGUvMjAyNC9qdWwvMjIva2FtYWxhLWhhcnJpcy1kZW1vY3JhdGljLWRlbGVnYXRlc9IBWmh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzL2FydGljbGUvMjAyNC9qdWwvMjIva2FtYWxhLWhhcnJpcy1kZW1vY3JhdGljLWRlbGVnYXRlcw?hl=en-US&gl=US&ceid=US%3Aen,"['Support of California delegation puts vice-president over threshold needed when party meets at Chicago convention', 'With the full support of the California delegation, Kamala Harris has earned enough delegates to become the Democratic party nominee.', 'Speaker emerita Nancy Pelosi made the motion to endorse Harris for president at a virtual meeting of California’s DNC delegation on Monday evening, a spokesperson confirmed.', 'Pelosi, who represents San Francisco in Congress, announced that with the endorsement of California’s delegation, Harris – a native Californian – had earned enough delegates to win the Democratic nomination for president.', 'Earlier on Monday, top Democrats rallied to support Harris in their bid to defeat Republican Donald Trump.', 'Harris was headed to the battleground state of Wisconsin on Tuesday as her campaign for the White House kicks into high gear. The event in Milwaukee will be her first full-fledged campaign event since announcing her candidacy.', 'Joe Biden’s departure freed his delegates to vote for whomever they choose at next month’s convention. And Harris, whom Biden backed after ending his candidacy, was working to quickly secure support from a majority.', 'California just voted unanimously to nominate our very own @KamalaHarris for President. Our delegates have put the VP over the required number she needs to be our nominee going into convention!', 'Big-name Harris endorsements Monday, including from governors Wes Moore of Maryland, Gretchen Whitmer of Michigan, JB Pritzker of Illinois and Andy Beshear of Kentucky, left a vanishing list of potential rivals.', 'According to an Associated Press tally, Harris had 2,214 delegates, well beyond the simple majority needed to clinch the nomination on the first ballot.', 'The survey is unofficial, the AP said, as Democratic delegates are free to vote for the candidate of their choice when the party formally chooses its candidate.', 'Pelosi, who had been one of the notable holdouts, initially encouraging a primary to strengthen the eventual nominee, said she was lending her “enthusiastic support” to Harris’s effort to lead the party.', 'A tweet late on Monday night announced that Pelosi’s office had confirmed Harris’s endorsement.', 'HARRIS has enough endorsements to get the nomination, per Speaker Emerita Pelosi\'s office.\n\n""Within the last hour, Speaker Pelosi made the motion to endorse Kamala Harris for President at a virtual meeting of California’s DNC delegation.""\n\n1/', 'Democratic National Committee chairman Jaime Harrison vowed that the party would deliver a presidential nominee by 7 August. A virtual nominating process before the national convention in Chicago, beginning on 19 August, is still needed.', '“I want to assure you that we are committed to an open and fair nominating process,” Harrison said on a conference call.', 'The DNC had said earlier that a virtual vote would take place between 1 August and 5 August, in order to have the nomination process completed by 7 August, the date by which Ohio law had required a nominee to be in place to make the state’s ballot.', 'Ohio lawmakers subsequently pushed back the deadline to 1 September, but party officials said they hoped to beat the 7 August deadline to avoid any legal risk in the state.', 'Winning the nomination is only the first item on a staggering political to-do list for her after Biden’s decision to exit the race, which she learned about on a Sunday morning call with the president.', 'She must also pick a running mate and pivot a massive political operation to boost her candidacy instead of Biden’s with just over 100 days until election day.']"
