Title,Link,Paragraphs
"Listeria outbreak linked to deli meat leaves 2 dead, 28 hospitalized in 12 states: See map",https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL2hlYWx0aC8yMDI0LzA3LzIzL2xpc3RlcmlhLW91dGJyZWFrLTIwMjQtZGVsaS1tZWF0LW1hcC83NDUwODMwMzAwNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"['Two people in the United States have died, and 28 people have been hospitalized across 12 states from a listeria outbreak linked to sliced deli meat, federal health officials said Friday.', 'People from the Midwest to the East Coast have reportedly become ill from listeria, a bacteria that causes potentially foodborne illness and is especially concerning for anyone pregnant, the CDC said.', ""The agency said the sick people's samples were collected between May 28 and July 5. During interviews, 16 of 18 said they ate meat sliced at a deli counter, most commonly deli-sliced turkey, liverwurst, and ham. The CDC is currently investigating which types of meat may be contaminated. There is no evidence that prepackaged deli meats made people sick with the disease, the CDC said."", ""Here's a look at which states are affected by the listeria outbreak."", 'Listeria outbreak:2 dead, 28 hospitalized from listeria outbreak linked to deli meat in 12 states', 'The deaths occurred in Illinois and New Jersey, the CDC said, and New York had seven cases, the most of any state.', 'Maryland had six cases, while Missouri, Virginia, Georgia, and Massachusetts each had two cases. Minnesota, Wisconsin, Illinois, Pennsylvania, and North Carolina each had one case reported.', 'Listeria is a genus of bacteria that causes severe illness when it spreads from the gut to other parts of the body.', 'Symptoms, which typically start a week to four weeks after eating contaminated food, include headaches, stiff neck, confusion, loss of balance and convulsions, fever, and muscle aches. Symptoms can also start as early as the same day or up to 70 days after.', 'Anyone who is at a higher risk of getting sick from listeria should avoid eating meats sliced at deli counters unless the meat is heated up to 165 degrees or is steaming hot, the CDC recommends.', 'Anyone who shows symptoms of listeria after recently eating sliced deli meat should contact a health provider.', 'Contributing: Eduardo Cuevas & Anthony Robledo, USA TODAY', 'Gabe Hauari is a national trending news reporter at USA TODAY. You can follow him on X @GabeHauari or email him at Gdhauari@gannett.com.']"
Two Dead In Listeria Outbreak Linked To Deli Meats,https://news.google.com/articles/CBMiPWh0dHBzOi8vd2VhdGhlci5jb20vaGVhbHRoL3ZpZGVvL2xpc3RlcmlhLW91dGJyZWFrLWRlbGktbWVhdHPSAQA?hl=en-US&gl=US&ceid=US%3Aen,"['July 23, 2024', 'An outbreak of listeria related to deli meats has killed at least two people. The listeria outbreak started in late May and spread across at least a dozen states, including New York, New Jersey, Pennsylvania and Illinois. Listeria is a type of food poisoning caused by bacteria that spreads easily among grocery store deli equipment, food, surfaces and hands, according to the CDC. Here’s what to know.', 'Now Playing', 'Next Up', 'See our Privacy Policy to learn about the types of data we collect and how we use and share it. We collect data from your browser to personalize your weather and the ads you see.', 'Your local forecast, plus daily trivia, stunning photos and our meteorologists’ top picks. All in one place, every weekday morning.', ""By signing up, you're opting in to receive the Morning Brief email newsletter. To manage your data, visit Data Rights. Terms of Use | Privacy Policy"", 'We recognize our responsibility to use data and technology for good. We may use or share your data with our data vendors. Take control of your data.', '© The Weather Company, LLC 2024']"
Listeria outbreak linked to deli meats causes 2 deaths. Here's what to know about symptoms.,https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvbGlzdGVyaWEtb3V0YnJlYWstZGVsaS1tZWF0cy10d28tZGVhdGhzLXN5bXB0b21zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"['Watch CBS News', 'By Sara Moniuszko', 'Edited By Paula Cohen', 'July 23, 2024 / 12:47 PM EDT / CBS News', 'A lsteria outbreak linked to sliced deli meats has killed two people and sickened 28 others across 12 states, according to the Centers for Disease Control and Prevention.', 'It is currently unknown what brands of deli meat are tied to the outbreak, but an active investigation aims to determine the specific products that may be contaminated, the agency said in an update Friday.', '""Products sold at the deli, especially those sliced or prepared at the deli, can be contaminated with Listeria,"" the CDC notes on its website. ""Listeria spreads easily among deli equipment, surfaces, hands and food.""', 'The states currently impacted include: Georgia, Illinois, Maryland, Massachusetts, Minnesota, Missouri, New Jersey, New York, North Carolina, Pennsylvania, Virginia and Wisconsin.', 'Listeria is a type of bacteria that can cause illness known as listeriosis. The CDC defines listeriosis as ""a serious infection usually caused by eating food contaminated with the bacterium Listeria monocytogenes.""', 'It is especially harmful to people who are pregnant, elderly (aged 65 or older) or who have weakened immune systems. ', 'An estimated 1,600 people get listeriosis each year, and about 260 die, according to the agency.', 'To avoid illness, the CDC recommends people at higher risk avoid eating meats sliced at the deli or heat them to an internal temperature of 165°F or until steaming hot before eating. Refrigeration does not kill listeria.', 'The current outbreak has been linked to contaminated deli meat, but other types of food can also pose risks if they get contaminated with the bacteria, including unpasteurized raw milk or products made with it, or raw vegetables that had contact with listeria in the soil or fertilizer, the Mayo Clinic explains.', 'Signs and symptoms of listeria infection can vary. For intestinal illness, which usually starts within 24 hours after eating contaminated food and lasts around 1 to 3 days, symptoms include diarrhea and vomiting.', '""This kind of illness is rarely diagnosed because laboratories do not regularly test patient stool (poop) samples for Listeria,"" the CDC notes. But this can develop into invasive illness, which is when the bacteria spreads beyond the intestines.', 'Symptoms of invasive illness, or invasive listeriosis, generally start within 2 weeks after eating contaminated food. Symptoms for non-pregnant people include:', '""Symptoms in non-pregnant people can be severe,"" the CDC notes. ""Almost 1 in 6 non-pregnant people with invasive listeriosis die.""', 'For pregnant people, symptoms also include fever and flu-like symptoms. While the symptoms are usually milder, and some pregnant people never even experience symptoms, the infection can harm the baby, leading to ""miscarriage, stillbirth, premature delivery, or life-threatening infection of the newborn,"" the CDC warns.', ""Sara Moniuszko is a health and lifestyle reporter at CBSNews.com. Previously, she wrote for USA Today, where she was selected to help launch the newspaper's wellness vertical. She now covers breaking and trending news for CBS News' HealthWatch."", '© 2024 CBS Interactive Inc. All Rights Reserved.', 'Copyright ©2024 CBS Interactive Inc. All rights reserved.', '', '', '']"
Listeria Outbreak Linked to Meats Sliced at Delis,https://news.google.com/articles/CBMiQGh0dHBzOi8vd3d3LmNkYy5nb3YvbGlzdGVyaWEvb3V0YnJlYWtzL2RlbGltZWF0cy03LTI0L2luZGV4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,"['', '', '', '', 'Posted July 19, 2024', 'Listeria is especially harmful to people who are pregnant, aged 65 or older, or with weakened immune systems. CDC always recommends people at higher risk for listeriosis avoid eating meats sliced at the deli or heat them to an internal temperature of 165°F or until steaming hot before eating.', 'Many people in this outbreak are reporting eating meats that they had sliced at deli counters. Investigators are collecting information to determine the specific products that may be contaminated. Products sold at the deli, especially those sliced or prepared at the deli, can be contaminated with Listeria. Listeria spreads easily among deli equipment, surfaces, hands and food. Refrigeration does not kill Listeria, but reheating to a high enough temperature before eating will kill any germs that may be on these meats.', 'Listeria is especially harmful if you are pregnant, are aged 65 or older, or have a weakened immune system due to certain medical conditions or treatments. Other people can be infected with Listeria, but they rarely become seriously ill.', 'If you are pregnant, are aged 65 or older, or have a weakened immune system:', 'Follow USDA-FSIS best practices\nfor controlling Listeria contamination in deli areas.', 'Sign up for RSS Feed', ' ']"
Here's what to do with deli meats as the CDC investigates a listeria outbreak across the U.S.,https://news.google.com/articles/CBMiTWh0dHBzOi8vd3d3Lm5iY25ld3lvcmsuY29tL25ld3MvbG9jYWwvZGVsaS1tZWF0LWxpc3RlcmlhLW91dGJyZWFrLXVzLzU2MTU4Mjgv0gFTaHR0cHM6Ly93d3cubmJjbmV3eW9yay5jb20vbmV3cy9sb2NhbC9kZWxpLW1lYXQtbGlzdGVyaWEtb3V0YnJlYWstdXMvNTYxNTgyOC8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen,"['You should seek medical care and tell the doctor about eating possibly contaminated food if you have a fever and other symptoms of possible listeriosis', ""As U.S. health officials investigate a fatal outbreak of listeria food poisoning, they're advising people who are pregnant, elderly or have compromised immune systems to avoid eating sliced deli meat unless it's recooked at home to be steaming hot."", ""The U.S. Centers for Disease Control and Prevention didn't mandate a food recall as of early Saturday, because it remains unclear what specific products have been contaminated with the bacteria now blamed for two deaths and 28 hospitalizations across 12 states. This means the contaminated food may still be in circulation, and consumers should consider their personal risk level when consuming deli meats."", '', ""Federal health officials warned on Friday that the number of illnesses is likely an undercount because people who recover at home aren't likely to be tested. For the same reason, the outbreak may have spread wider than the states where listeria infections have been reported, mostly in the Midwest and along the U.S. eastern coast."", 'The largest number known to get sick — seven — were in New York, according to the CDC. The people who died were from Illinois and New Jersey.', 'Of the people investigators have been able to interview, “89% reported eating meats sliced at a deli, most commonly deli-sliced turkey, liverwurst, and ham. Meats were sliced at a variety of supermarket and grocery store delis,” the CDC said.', 'And samples collected from victims from May 29 to July 5 show the bacteria is closely related genetically.', '', '“This information suggests that meats sliced at the deli are a likely source of this outbreak. However, at this time CDC doesn’t have enough information to say which deli meats are the source of this outbreak,” the agency said in a statement published on its website Friday.', 'Listeria infections typically cause fever, muscle aches and tiredness and may cause stiff neck, confusion, loss of balance and convulsions. Symptoms can occur quickly or to up to 10 weeks after eating contaminated food.', 'It can be diagnosed by testing bodily fluids, usually blood, and sometimes urine or spinal fluid, according to the Mayo Clinic.', 'Listeria infections are especially dangerous for people older than 65 and those with weakened immune systems, according to the CDC. Victims of this outbreak ranged in age from 32 to 94, with a median age of 75.', 'For pregnant people, listeria can increase the risk of miscarriages. One of the victims of the current outbreak was pregnant, but did not have a miscarriage, officials said.', 'Infections confined to the gut — intestinal listeriosis — can often be treated without antibiotics according to the CDC. For example, people might need extra fluids while experiencing diarrhea.', 'But when the infection spreads beyond the gut — invasive listeriosis — it’s extremely dangerous, and is often treated with antibiotics to mitigate the risk of blood infections and brain inflammation, according to the Mayo Clinic.', 'So far there’s no sign that people are getting sick from prepackaged deli meats. And for at-risk people who already have deli slices in their refrigerator, they can be sanitized by being recooked. “Refrigeration does not kill Listeria, but reheating before eating will kill any germs that may be on these meats,” the CDC says.', ""This isn't new advice: The CDC says it always recommends that people at higher risk for listeriosis avoid eating meats sliced at the deli, or heat them to an internal temperature of 165 Fahrenheit (74 Celsius) or until it's steaming hot before eating."", 'Some of the products involved in past listeria outbreaks cannot be reheated, of course: Over the decades, listeria has provoked voluntary or mandated recalls of cheeses, bean dips, milk, mushrooms, packaged salads, and ice cream.', 'Sign up to receive breaking news alerts in your inbox.', '', '', '', '', '', '', '', '']"
A listeria outbreak linked to deli meat has killed 2 people and sickened dozens more. What to know about symptoms and how to stay safe,https://news.google.com/articles/CBMiVWh0dHBzOi8vZm9ydHVuZS5jb20vd2VsbC8yMDI0LzA3LzIwL2xpc3RlcmlhLW91dGJyZWFrLWRlbGktbWVhdC1zeW1wdG9tcy1wcmVjYXV0aW9ucy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"['As U.S. health officials investigate a fatal outbreak of listeria food poisoning, they’re advising people who are pregnant, elderly or have compromised immune systems to avoid eating sliced deli meat unless it’s recooked at home to be steaming hot.', 'The U.S. Centers for Disease Control and Prevention didn’t mandate a food recall as of early Saturday, because it remains unclear what specific products have been contaminated with the bacteria now blamed for two deaths and 28 hospitalizations across 12 states. This means the contaminated food may still be in circulation, and consumers should consider their personal risk level when consuming deli meats.', 'Federal health officials warned on Friday that the number of illnesses is likely an undercount, because people who recover at home aren’t likely to be tested. For the same reason, the outbreak may have spread wider than the states where listeria infections have been reported, mostly in the Midwest and along the U.S. eastern coast.', 'The largest number known to get sick — seven — were in New York, according to the CDC. The people who died were from Illinois and New Jersey.', 'Of the people investigators have been able to interview, “89% reported eating meats sliced at a deli, most commonly deli-sliced turkey, liverwurst, and ham. Meats were sliced at a variety of supermarket and grocery store delis,” the CDC said.', 'And samples collected from victims from May 29 to July 5 show the bacteria is closely related genetically.', '“This information suggests that meats sliced at the deli are a likely source of this outbreak. However, at this time CDC doesn’t have enough information to say which deli meats are the source of this outbreak,” the agency said in a statement published on its website Friday.', 'Listeria infections typically cause fever, muscle aches and tiredness and may cause stiff neck, confusion, loss of balance and convulsions. Symptoms can occur quickly or to up to 10 weeks after eating contaminated food.', 'It can be diagnosed by testing bodily fluids, usually blood, and sometimes urine or spinal fluid, according to the Mayo Clinic.', 'Listeria infections are especially dangerous for people older than 65 and those with weakened immune systems, according to the CDC. Victims of this outbreak ranged in age from 32 to 94, with a median age of 75.', 'For pregnant people, listeria can increase the risk of miscarriages. One of the victims of the current outbreak was pregnant, but did not have a miscarriage, officials said.', 'Infections confined to the gut — intestinal listeriosis — can often be treated without antibiotics according to the CDC. For example, people might need extra fluids while experiencing diarrhea.', 'But when the infection spreads beyond the gut — invasive listeriosis — it’s extremely dangerous, and is often treated with antibiotics to mitigate the risk of blood infections and brain inflammation, according to the Mayo Clinic.', 'So far there’s no sign that people are getting sick from prepackaged deli meats. And for at-risk people who already have deli slices in their refrigerator, they can be sanitized by being recooked. “Refrigeration does not kill Listeria, but reheating before eating will kill any germs that may be on these meats,” the CDC says.', 'This isn’t new advice: The CDC says it always recommends that people at higher risk for listeriosis avoid eating meats sliced at the deli, or heat them to an internal temperature of 165 Fahrenheit (74 Celsius) or until it’s steaming hot before eating.', 'Some of the products involved in past listeria outbreaks cannot be reheated, of course: Over the decades, listeria has provoked voluntary or mandated recalls of cheeses, bean dips, milk, mushrooms, packaged salads, and ice cream.', '___', 'The Associated Press Health and Science Department receives support from the Howard Hughes Medical Institute’s Science and Educational Media Group. The AP is solely responsible for all content.', '© 2024 Fortune Media IP Limited. All Rights Reserved. Use of this site constitutes acceptance of our Terms of Use and Privacy Policy | CA Notice at Collection and Privacy Notice | Do Not Sell/Share My Personal Information\nFORTUNE is a trademark of Fortune Media IP Limited, registered in the U.S. and other countries. FORTUNE may receive compensation for some links to products and services on this website. Offers may be subject to change without notice.', '', '', '', '', '', '', '']"
Deli Meats Sold Nationwide Linked to Listeria Outbreak—Here’s What You Need to Know,https://news.google.com/articles/CBMiS2h0dHBzOi8vd3d3LnlhaG9vLmNvbS9uZXdzL2RlbGktbWVhdHMtc29sZC1uYXRpb253aWRlLWxpbmtlZC0xNTMxNTUzNDAuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"['Consumers should be cautious about eating sliced meats purchased from any deli counter in the US.', 'VIKIF / GETTY IMAGES', 'Before picking up your cold cuts from the deli, take caution. According to an ongoing investigation by the Centers for Disease Control and Prevention (CDC), an active nationwide outbreak of listeria has been linked to sliced deli meats.', 'The CDC states that ""products sold at the deli, especially those sliced or prepared at the deli, can be contaminated with listeria,"" as it can spread easily among deli equipment, surfaces, hands, and food. While investigators collect information regarding which specific meats caused the illness, consumers are urged to act cautiously.', 'Consumers, especially those at higher risk, should avoid eating sliced meats purchased from the deli counter unless they are heated to an internal temperature of 165 degrees Fahrenheit or until steaming hot. Although listeria can grow on refrigerated foods, it can be killed if food is heated to a high enough temperature. Additionally, consumers should clean their refrigerators, containers, and surfaces that may have touched sliced deli meats.', ""Related: Over 27,000 Bags of Rice Recalled Nationwide Due To Possible Contamination of 'Rodent Origin'"", 'So far, 28 illnesses have been reported across 12 states in the U.S., including Georgia, Illinois, Maryland, Massachusetts, Minnesota, Missouri, New Jersey, New York, North Carolina, Pennsylvania, Virginia, and Wisconsin. However, the CDC notes that this outbreak may not be limited to the states with known illnesses, and the true number of sick people is likely higher than the number reported.', 'Consuming products contaminated with listeria could result in listeriosis, an infection that can cause serious illness in older adults, people with weakened immune systems, pregnant people, and newborns. Symptoms of listeriosis usually start within two weeks after eating contaminated food but may start as early as the same day or as late as 10 weeks after, per the CDC.', ""Those with specific questions about potential illness should contact their healthcare provider or visit the CDC's frequently asked questions page about listeria."", 'Read the original article on Martha Stewart.', '']"
Here's what to do with deli meats as the CDC investigates a listeria outbreak across the U.S.,https://news.google.com/articles/CBMiiwFodHRwczovL3d3dy5ub2xhLmNvbS9lbnRlcnRhaW5tZW50X2xpZmUvbG91aXNpYW5hX2hlYWx0aC9kZWxpLW1lYXQtbGlzdGVyaWEtdW5pdGVkLXN0YXRlcy9hcnRpY2xlX2Q5ZDIxZDJhLTQ4NTUtMTFlZi05YTY4LWRiNmQ3MjJmMjBkNC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,"['', '', 'FILE - This 2002 electron microscope image made available by the Centers for Disease Control and Prevention shows a Listeria monocytogenes bacterium, responsible for the food borne illness listeriosis. (Elizabeth White/CDC via AP, File)', ""As U.S. health officials investigate a fatal outbreak of listeria food poisoning, they're advising people who are pregnant, elderly or have compromised immune systems to avoid eating sliced deli meat unless it's recooked at home to be steaming hot."", ""The U.S. Centers for Disease Control and Prevention didn't mandate a food recall as of early Saturday, because it remains unclear what specific products have been contaminated with the bacteria now blamed for two deaths and 28 hospitalizations across 12 states. This means the contaminated food may still be in circulation, and consumers should consider their personal risk level when consuming deli meats."", ""Federal health officials warned on Friday that the number of illnesses is likely an undercount, because people who recover at home aren't likely to be tested. For the same reason, the outbreak may have spread wider than the states where listeria infections have been reported, mostly in the Midwest and along the U.S. eastern coast."", 'The largest number known to get sick — seven — were in New York, according to the CDC. The people who died were from Illinois and New Jersey.', 'Of the people investigators have been able to interview, “89% reported eating meats sliced at a deli, most commonly deli-sliced turkey, liverwurst, and ham. Meats were sliced at a variety of supermarket and grocery store delis,” the CDC said.', 'And samples collected from victims from May 29 to July 5 show the bacteria is closely related genetically.', '“This information suggests that meats sliced at the deli are a likely source of this outbreak. However, at this time CDC doesn’t have enough information to say which deli meats are the source of this outbreak,” the agency said in a statement published on its website Friday.', 'Listeria infections typically cause fever, muscle aches and tiredness and may cause stiff neck, confusion, loss of balance and convulsions. Symptoms can occur quickly or to up to 10 weeks after eating contaminated food.', 'It can be diagnosed by testing bodily fluids, usually blood, and sometimes urine or spinal fluid, according to the Mayo Clinic.', 'Listeria infections are especially dangerous for people older than 65 and those with weakened immune systems, according to the CDC. Victims of this outbreak ranged in age from 32 to 94, with a median age of 75.', 'For pregnant people, listeria can increase the risk of miscarriages. One of the victims of the current outbreak was pregnant, but did not have a miscarriage, officials said.', 'Infections confined to the gut — intestinal listeriosis — can often be treated without antibiotics according to the CDC. For example, people might need extra fluids while experiencing diarrhea.', 'But when the infection spreads beyond the gut — invasive listeriosis — it’s extremely dangerous, and is often treated with antibiotics to mitigate the risk of blood infections and brain inflammation, according to the Mayo Clinic.', 'So far there’s no sign that people are getting sick from prepackaged deli meats. And for at-risk people who already have deli slices in their refrigerator, they can be sanitized by being recooked. “Refrigeration does not kill Listeria, but reheating before eating will kill any germs that may be on these meats,” the CDC says.', ""This isn't new advice: The CDC says it always recommends that people at higher risk for listeriosis avoid eating meats sliced at the deli, or heat them to an internal temperature of 165 Fahrenheit (74 Celsius) or until it's steaming hot before eating."", 'Some of the products involved in past listeria outbreaks cannot be reheated, of course: Over the decades, listeria has provoked voluntary or mandated recalls of cheeses, bean dips, milk, mushrooms, packaged salads, and ice cream.', '___', 'The Associated Press Health and Science Department receives support from the Howard Hughes Medical Institute’s Science and Educational Media Group. The AP is solely responsible for all content.', 'News Tips:\nnolanewstips@theadvocate.com', 'Other questions:\nsubscriberservices@theadvocate.com', 'Need help?', '', 'This website stores data such as cookies to enable essential website functionality, marketing, personalization and analytics. By remaining on this website you indicate your consent. See updated terms and conditions.']"
CDC Warns of Listeria Outbreak Tied to Deli Meats,https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmhlYWx0aGRheS5jb20vaGVhbHRoLW5ld3MvaW5mZWN0aW91cy1kaXNlYXNlL2NkYy13YXJucy1vZi1saXN0ZXJpYS1vdXRicmVhay10aWVkLXRvLWRlbGktbWVhdHPSAQA?hl=en-US&gl=US&ceid=US%3Aen,"['MONDAY, July 22, 2024 (HealthDay News) -- At least 28 people have been hospitalized and two have died in a multi-state outbreak of listeria linked to deli meat, U.S. health officials warned.', 'In an investigation notice posted Friday, the U.S. Centers for Disease Control and Prevention said the true number of illnesses is likely higher because there is often a lag time in reporting cases and some people may have had milder illness and not been tested for listeria.', 'So far, seven illnesses have been reported in New York; six in Maryland; two each in Georgia, Massachusetts, Missouri, New Jersey and Virginia; and one each in Illinois, Minnesota, North Carolina, Pennsylvania and Wisconsin.', 'The deaths were reported in Illinois and New Jersey. The first person got sick at the end of May, and the latest case was reported on July 5.', ""At this point, it isn't clear exactly what deli meat may be to blame for the outbreak, so no recalls have been issued, the CDC noted. But the agency stressed that high-risk groups, including pregnant women, those 65 and older and those with weakened immune systems, should avoid eating sliced deli meat unless it’s been heated until it steams or reaches an internal temperature of 165 degrees Fahrenheit."", 'Of the 18 people whom public health experts have been able to interview during the outbreak, 16 reported eating meats sliced at a deli in the month before they got sick. There are no reports of people getting sick after eating packaged deli meat, the CDC added.', 'Most of the people who fell ill reported eating turkey or liverwurst, while some reported eating ham. The meats came from a variety of grocery store delis.', '""However, at this time CDC doesn’t have enough information to say which deli meats are the source of this outbreak,"" the agency noted.', 'Still, DNA tests showed the bacteria from the sick people was genetically similar, suggesting they probably caught the illness from the same food, the CDC said.', 'Listeria bacteria can cause listeriosis, the third-leading cause of death from food-borne illness in the United States. Symptoms typically include a fever, muscle aches and fatigue. Infection may also cause a headache, a stiff neck, confusion or seizures. Pregnant women may experience pregnancy loss or premature birth.', 'More information', 'The U.S. Food and Drug Administration has more on listeria.', 'SOURCE: U.S. Centers for Disease Control and Prevention, news release, July 19, 2024', 'A listeria outbreak linked to deli meat has landed at least 28 people in the hospital, two of whom have died.', '© healthday-en 2024']"
Two deaths linked to listeria food poisoning from meat sliced at deli counters,https://news.google.com/articles/CBMiWWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2xpc3RlcmlhLWRlbGktbWVhdC1jZGMtZGVhdGhzLTkxNmVlMDQ3YjBkZjIzNGQ4NjBhZmM0MDY5MjhlZTg20gEA?hl=en-US&gl=US&ceid=US%3Aen,"['', 'FILE - This 2002 electron microscope image made available by the Centers for Disease Control and Prevention shows a Listeria monocytogenes bacterium, responsible for the food borne illness listeriosis. (Elizabeth White/CDC via AP, File)', 'At least two people have died and more than two dozen were hospitalized in an outbreak of listeria food poisoning linked to meat sliced at grocery store deli counters, federal health officials said Friday.', 'At least 28 people in a dozen states have gotten sick, though the largest number, seven, were in New York, according to the Centers for Disease Control and Prevention. The people who died were from Illinois and New Jersey. Samples were collected from May 29 to July 5 and so far, all of the people known to be part of the outbreak have been hospitalized.', 'Many of the people in the outbreak reported eating meats that were sliced at grocery store deli counters. So far, there’s no information showing that people are getting sick from prepackaged deli meats, the CDC said. People most commonly reported eating deli-sliced turkey, liverwurst and ham, officials said. CDC doesn’t have enough information to say which deli meats are the source of the outbreak.', 'Listeria infections typically cause fever, muscle aches and tiredness and may cause stiff neck, confusion, loss of balance and convulsions. Symptoms can occur quickly or to up to 10 weeks after eating contaminated food. The infections are especially dangerous for people older than 65, those with weakened immune systems and pregnant people, who can have miscarriages. This outbreak includes people aged 32 to 94, with a median age of 75. One pregnant person got sick, but retained the pregnancy, officials said.', 'The Associated Press Health and Science Department receives support from the Howard Hughes Medical Institute’s Science and Educational Media Group. The AP is solely responsible for all content.', 'Copyright 2024 The Associated Press. All Rights Reserved.', '', '', '', '', '', '']"
