Title,Link,Paragraphs
No title found,"https://www.cbsnews.com/news/earth-second-mini-moon-2024/""]],[""Earth","['The page may have been removed, had its name changed, or is just temporarily unavailable.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
No title found,"https://www.cbsnews.com/news/earth-second-mini-moon-2024/""],null,77,[[null,null,null,null,""NEWS_QUESTION_RESULT_GROUP","['The page may have been removed, had its name changed, or is just temporarily unavailable.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
This site can’t be reached,https://www.cbc.ca/news/science/mini-moon-2024-pt5-1.7327976,"['The webpage at https://www.cbc.ca/news/science/mini-moon-2024-pt5-1.7327976 might be temporarily down or it may have moved permanently to a new web address.', '', '']"
Earth gets a new ‘mini-moon’,https://www.semafor.com/article/09/16/2024/earth-gets-a-new-mini-moon,"['Sign up for Semafor Flagship: The daily global news briefing you can trust. Read it now.', 'Earth will gain a “mini-moon” for the next two months when it captures an asteroid in its gravitational pull. Asteroid 2024PT5, a smallish rock about 10 meters (30 feet) in diameter, will make one complete orbit of the Earth — significantly further out than our usual moon, even at its closest point — from Sep. 29, before sailing off into the distance again 53 days later.', '', 'The Earth has gained new mini-moons before, sometimes for extended periods: Two confirmed examples are a 10-foot-wide asteroid that orbited us for a year from 2006 to 2007, and another, even smaller rock believed to have been around for three or four years before leaving in 2020.', 'Transparent news, distilled views, and global perspectives.', 'Sign up for Semafor Flagship']"
Asteroid to get stuck in Earth’s orbit,https://www.wbng.com/2024/09/16/asteroid-get-stuck-earths-orbit/,"['VESTAL (WBNG) -- An asteroid that will be in Earth’s gravitational orbit will be a “mini-moon” for a couple of months.', 'A “moon” is any object that orbits an object in space. According to Phys.org, the asteroid, 2024 PT-5 will enter the Earth’s orbit in late September. It will stay in orbit until it exits in early November.', 'While this sounds exciting for stargazers and astronomy lovers, Kopernik Observatory Executive Director Drew Deskur said that the asteroid will be very hard to see.', '“Being over 600,000 miles away, it is so small that we wouldn’t be able to see it,” Deskur said. “Even with a telescope, you would have to look pretty hard to find it.”', 'While many people associate asteroids with the Asteroid Belt that separates Mars and Jupiter, Deskur said that there are smaller clusters throughout space, with some near Earth.', 'Due to these clusters, this is not the first time something like this has happened. Deskur said asteroids have been stuck in Earth’s orbit a couple of times over the last decade.', '', '', 'Copyright 2024 WBNG. All rights reserved.']"
An Asteroid Is Going to Orbit Earth Like a Mini Moon for 2 Months,https://www.cnet.com/science/an-asteroid-is-going-to-orbit-earth-like-a-mini-moon-for-two-months/,"['', '', '', '', '', 'The asteroid, dubbed 2024 PT5, will hang out for 56 days before continuing its journey.', ""An asteroid is headed towards Earth. It's not going to hit us, but it is going to hang out for a couple of months. A recently discovered asteroid known as 2024 PT5 will fly into Earth's orbit, get caught there from Sept. 29 to Nov. 25 and then eventually exit and continue its way through the solar system. Scientists call such phenomena mini-moons."", 'The asteroid was found by a group called ATLAS, which stands for Asteroid Terrestrial-impact Last Alert System, in August. The researchers who found it published a nonpeer-reviewed study about the asteroid.', 'Some past mini-moons, such as this one from 2020, have been discovered to be random pieces of space junk. The 2020 mini-moon was eventually identified as a rocket booster from the 1966 Surveyor 2 Centaur launch. But ATLAS reports this upcoming mini-moon is likely to be a real asteroid, which is simply defined as a small, rocky object that orbits the sun.', ""Amateur astronomer Tony Dunn posted a simulation to X of what the asteroid's path will look like. 2024 PT5 has already been near Earth since July."", ""During the event, the asteroid's geocentric energy will become negative and remain that way for 56.6 days. In Dunn's simulation, the orbit is shown as the red line, and it only circles about 25% of the Earth."", ""The asteroid won't complete a full orbit of Earth, so some astronomers refer to it as a temporarily captured flyby. Mini-moons that do complete a total orbit of Earth are referred to as temporarily captured orbiters."", ""It's unlikely you'll see the mini-moon. NASA says the absolute magnitude of 2024 PT5 is 27.593. That means it's quite dim and won't be visible even if you have a telescope. For reference, the dimmest magnitude that is visible to the naked eye at night is around 6.5 and a 12-inch telescope can see objects with a magnitude of around 16 or 17. That means amateur astronomers are going to have to sit this one out since you'd need a much larger telescope to see 2024 PT5."", ""Mini-moons aren't particularly rare. We see them almost every year. Earth had a mini-moon in 2022 thanks to the peculiar flight path of the 2022 YG asteroid. Another one appeared in 2020 courtesy of the 2020 CD3 asteroid. Some of them are even bright enough to see with amateur astronomy instruments. "", ""Many asteroids come back over and over again for repeat visits as well. The 2022 NX1 asteroid became a mini-moon in 1981 and 2022. It's scheduled to make its return in 2051. One of the best examples is 2006 RH120, which orbited Earth for a whole year between July 2006 and July 2007. The phenomenon is so consistent that some researchers claim that Earth always has a mini-moon lurking around somewhere."", 'The asteroid impact in Mexico left deposits similar to those made by other asteroids from the outer solar system.', 'An asteroid impact led to the end of times for the dinosaurs.', ""Asteroids, volcanic eruptions and poisonous plant species: the extinction of the dinosaurs has been a hotly debated topic for decades. But researchers have found hard evidence of an asteroid impact that had a massive effect on the Earth's climate along with asteroid-specific minerals like iridium at the crater in Chicxulub, Mexico, all but proving the asteroid theory."", ""And now scientists have figured out where the asteroid likely came from, and it wasn't from anywhere nearby. Research headed by Mario Fischer-Gödde at the University of Cologne in Germany says the asteroid came from beyond Jupiter, well into the outer portion of our solar system. "", 'The research paper, published Thursday in the journal Science, identified it as a C-type asteroid. Known as a carbonaceous meteor, these most commonly come from the outer solar system. C-type meteors are exceptionally old, and their makeups can help researchers learn more about the early history of our solar system.', 'To figure this out, scientists had to go through a number of steps. When the meteorite smashed into Earth, it pulverized rock and launched it into the skies. This giant dust cloud -- which included material from both Earth and the meteorite -- lowered the temperature of Earth and wiped out most of the species in existence. That dust eventually settled, where it would become a layer of rock that scientists could dig up tens of millions of years later. ', 'Geologists designate this very thin layer as the K-Pg layer, which describes the time when the Cretaceous period ends and the Paleogene period begins. It was around this time, 66 million years ago, when the asteroid was thought to hit.', 'Researchers dug up samples from the K-Pg layer and found ruthenium, an element that is rarely found on Earth but is plentiful on carbonaceous meteorites. The isotopes, or atoms, found in the ruthenium matched those found in ruthenium in other carbonaceous meteorites, proving that it came from a meteorite and not Earth. ', 'To make sure, researchers also compared it to material found in other major meteorite impacts and found no matches. That means the ruthenium found in the K-Pg layer came from the same meteorite that hit Chicxulub.', 'As the theory goes, a 6-mile-wide meteor plunged into Earth near modern-day Chicxulub on the Yucatan peninsula. The impact launched vaporized rock and debris into the air, covering the planet in a dust cloud that caused the temperature to fall by about 50 degrees Fahrenheit (28 degrees Celsius). This caused a long winter that killed off nonavian dinosaurs, along with 70% of all life on Earth.', 'Eventually, the dust fell back to Earth where it became the K-Pg rock layer, and then other things got piled on top that also became rock. Whatever happened when the K-Pg layer was created definitely killed the dinosaurs, because no nonavian dinosaur fossils have ever been found above the K-Pg layer.', 'Researchers have found plenty of stuff in the K-Pg layer, including iridium and chromium. Iridium is rare on Earth but common on asteroids, so when they found iridium in the 1980s, it helped piece together the puzzle of what killed the dinosaurs. Chromium, by contrast, is very common on Earth so it could not be correlated to a meteorite impact.', 'Later, scientists found more evidence in the form of sulfur in the K-Pg layer but not in the impact crater, suggesting that the impact launched sulfur into the atmosphere, which certainly contributed to global cooling. Sulfur was found in the rock as far away as Antarctica, which showed how violent the meteorite impact was.', 'We now come to today. As Fischer-Gödde explained to Mashable, ruthenium is quite difficult to detect and it required some technological advancements to do it. So, the team measured five samples from the K-Pg layer and found that the ruthenium from all five samples likely came from the same single source. They also found that the isotopes matched those of carbonaceous meteorites that had been previously analyzed.', ""To sum it up: The meteorite that hit Earth and killed the dinosaurs was likely formed billions of years ago as part of the solar system's earliest history, and not something that was close by like most meteorite impacts.""]"
No title found,"https://www.forbes.com/sites/ariannajohnson/2024/09/19/temporary-mini-moon-will-begin-orbit-around-earth-next-week-what-to-know/""],null,77,[[null,null,null,null,""NEWS_QUESTION_RESULT_GROUP","['For further information, do not hesitate to contact us.', 'Ref: 68.181.17.80 2024-09-20T07:04:46.355Z']"
Scientists Just Discovered That Earth Is Getting A Second Moon—And It's About To Shake Up Your Sign,https://www.aol.com/scientists-just-discovered-earth-getting-214900336.html,"['', '', 'As a card-carrying citizen of Earth, you’re probably aware of the fact that we have one moon that rotates around the planet. But the universe is throwing things for a loop by introducing a “second moon” for the next two months.', ""In reality, it’s actually an asteroid, but we're kind of splitting hairs at that point. Regardless, it will definitely join Earth’s orbit for a little bit. But what is this second moon and, more importantly, will it have any impact on your astrological sign? Here’s the deal, according to an astrologer."", 'Meet the expert: Donna Page, a certified astrologer in Atlanta.', 'Yep, Earth will temporarily get a second moon. It’s called 2024 PT5 and it’s been called a “mini moon” by astronomers. 2024 PT5 is expected to join Earth’s orbit for two months, before breaking free sometime in November, according to research published earlier this month.', 'A mini moon is a little trickier in the astrology world compared to bigger events like, say, a full moon or new moon. “I don’t really know how it will manifest astrologically, but it will,” says Donna Page, a certified astrologer in Atlanta.', 'Earth’s asteroid belt “is considered to be a link between the planet Mars and Jupiter,” Page says. (In case you’re not familiar with each planet’s vibe, Mars is considered the planet of action and Jupiter is considered the planet of growth and good fortune.)', 'Since this mini moon is in our orbit, Page says that it will likely connect our feelings to other people’s needs—meaning, don’t be surprised if you find yourself more empathetic than usual for the next few months. That can translate to you reaching out to the new coworker at your office to make sure she’s settling in okay, or just noticing a bit more how everyday people are impacted by events outside of their control.', 'Unfortunately, no. At just 10 meters long, 2024 PT5 is tiny where you’re looking at it from Earth. That makes it tricky to see from where you’re standing.', 'Still, having a second moon hanging around Earth for two moons is pretty cool—if only to share with your friends over cocktails.', 'You Might Also Like', 'Jennifer Garner Swears By This Retinol Eye Cream', 'These New Kicks Will Help You Smash Your Cross-Training Goals', '', 'Grab your calendars, because there’s an important monthly event you need to know about—and I’m not talking about rent day. I’m talking about something much more vibe-y: The Full Moon. Whether you’re planning a romantic date night or getting witchy with a manifestation ritual, it’s nice to know when the Full Moon is coming so you can mark it (or not) in your own way.', 'First, let’s talk about what a Full Moon is. Put on your astronomy hat for a moment! A Full Moon occurs when the Moon is exactly opposite the Sun in its rotation around the Earth, appearing fully illuminated from our POV here on Earth. In contrast, a New Moon occurs when the Moon is between the Earth and the Sun in its orbit. During a New Moon, the Earth casts a shadow across the face of the Moon, making it appear fully darkened from our POV on Earth.', 'A full lunar cycle lasts 29.5 days, meaning that most months have one Full Moon. However, occasionally a month will have two Full Moons, with the first Full Moon occurring on the 1st or 2nd of the month and the second Full Moon occurring on the 30th or 31st of the month. This is called a ~Blue Moon~. (And why the saying “once in a Blue Moon” means that something happens rarely.)', 'If you’re wondering, “When is the next Full Moon?” we gotchu! Below, find a Full Moon calendar, traditional names for each Full Moon, and why Full Moons are so important in astrology.', 'Here are all the Full Moons for 2024. All times are in Eastern Time.', 'January 25, 2024 at 12:54 p.m.', 'February 24, 2024 at 7:30 a.m.', 'March 25, 2024 at 3:00 a.m.', 'April 23, 2024 at 7:49 p.m.', 'May 23, 2024 at 9:53 a.m.', 'June 21, 2024 at 9:08 p.m.', 'July 21, 2024 at 6:17 a.m.', 'August 19, 2024 at 2:26 p.m.', 'September 17, 2024 at 10:34 p.m.', 'October 17, 2024 at 7:26 a.m.', 'November 15, 2024 at 4:28 p.m.', 'December 15, 2024 at 4:02 a.m.', 'Generally, a Full Moon occurs in each of the 12 zodiac signs once a year. However, on some occasions, a Full Moon can occur in one of the zodiac signs twice. This is because each zodiac season is 30 days long, while the lunar cycle is slightly shorter at 29.5 days long. This means that if a Full Moon happens on the first or second day of a zodiac season, it can also happen on the last day of a zodiac season.', 'For example: A Full Moon in Capricorn occurs on the second day of Cancer season, on June 21, 2024, and then another Full Moon in Capricorn occurs on the last day of Cancer season, on July 21, 2024.', 'A Full Moon always occurs in the opposite sign of the Sun, because the Sun and the Moon are exactly opposite each other during the Full Moon. This means that each astrological season has a Full Moon in its sister sign. Sound complicated? Let me make it clear:', 'When the Sun is in Aries, the Full Moon is in Libra', 'When the Sun is in Taurus, the Full Moon is in Scorpio', 'When the Sun is in Gemini, the Full Moon is in Sagittarius', 'When the Sun is in Cancer, the Full Moon is in Capricorn', 'When the Sun is in Leo, the Full Moon is in Aquarius', 'When the Sun is in Virgo, the Full Moon is in Pisces', 'When the Sun is in Libra, the Full Moon is in Aries', 'When the Sun is in Scorpio, the Full Moon is in Taurus', 'When the Sun is in Sagittarius, the Full Moon is in Gemini', 'When the Sun is in Capricorn, the Full Moon is in Cancer', 'When the Sun is in Aquarius, the Full Moon is in Leo', 'When the Sun is in Pisces, the Full Moon is in Virgo', 'As for the Full Moons in 2024, here ya go:', 'January 25, 2024 at 12:54 p.m. — Full Moon in Leo', 'February 24, 2024 at 7:30 a.m. — Full Moon in Virgo', 'March 25, 2024 at 3:00 a.m. — Full Moon in Libra (also a lunar eclipse)', 'April 23, 2024 at 7:49 p.m. — Full Moon in Scorpio', 'May 23, 2024 at 9:53 a.m. — Full Moon in Sagittarius', 'June 21, 2024 at 9:08 p.m. — Full Moon in Capricorn', 'July 21, 2024 at 6:17 a.m. — Full Moon in Capricorn', 'August 19, 2024 at 2:26 p.m. — Full Moon in Aquarius', 'September 17, 2024 at 10:34 p.m. — Full Moon in Pisces (also a lunar eclipse)', 'October 17, 2024 at 7:26 a.m. — Full Moon in Aries', 'November 15, 2024 at 4:28 p.m. — Full Moon in Taurus', 'December 15, 2024 at 4:02 a.m. — Full Moon in Gemini', 'If you’ve ever heard people talking about a “Pink Moon” or a “Wolf Moon,” they’re like referring to the Old Farmer’s Almanac’s names for the Full Moon. In the United States, the Old Farmer’s Almanac gives the Full Moon of each month an official name, and provides alternate names as well. Publishing guides to Moon names became popularized among various almanacs in the mid-1900s, and the Old Farmer’s Almanac began publishing its guides to Moon names in the 1950s.', 'Today, the Old Farmer’s Almanac includes a note that these names come from “Native American, Colonial American, or other traditional North American sources passed down through generations.” For example, the name “Wolf Moon” is thought to have been brought to North America by English settlers, and the name “Flower Moon” has Algonquin origins.', 'Here are each of the Old Farmer’s Almanac names for the Full Moons:', 'January: Full Wolf Moon', 'February: Full Snow Moon', 'March: Full Worm Moon', 'April: Full Pink Moon', 'May: Full Flower Moon', 'June: Full Strawberry Moon', 'July: Full Buck Moon', 'August: Full Sturgeon Moon', 'September: Full Harvest Moon', 'October: Full Hunter’s Moon', 'November: Full Beaver Moon', 'December: Full Cold Moon', 'And here are other traditional names for each Full Moon, via the Old Farmer’s Almanac:', 'January: Canada Goose Moon (Tlingit), Center Moon (Assiniboine), Cold Moon (Cree), Freeze Up Moon (Algonquin), Frost Exploding Moon (Cree), Great Moon (Cree), Greetings Moon (Western Abenaki), Hard Moon (Dakota), Severe Moon (Dakota), Spirit Moon (Ojibwe)', 'February: Bald Eagle Moon (Cree), Bear Moon (Ojibwe), Black Bear Moon (Tlingit), Bony Moon (Cherokee), Eagle Moon (Cree), Goose Moon (Haida), Groundhog Moon (Algonquin), Hungry Moon (Cherokee), Raccoon Moon (Dakota)', 'March: Crow Comes Back Moon (Northern Ojibwe), Eagle Moon (Cree), Goose Moon (Algonquin, Cree), Snow Crust Moon (Anishinaabe), Sore Eyes Moon (Dakota, Lakota, Assiniboine), Sugar Moon (Ojibwe), Wind Strong Moon (Pueblo)', 'April: Breaking Ice Moon (Algonquin), Broken Snowshoe Moon (Anishinaabe), Budding Moon of Plants and Shrubs (Tlingit), Frog Moon (Cree), Moon of the Red Grass Appearing (Oglala), Moon When the Ducks Come Back (Lakota), Moon When the Geese Lay Eggs (Dakota), Moon When the Streams are Again Navigable (Dakota), Sucker Moon (Anishinaabe), Sugar Maker Moon (Western Abenaki)', 'May: Budding Moon (Cree), Egg Laying Moon (Cree), Frog Moon (Cree), Leaf Budding Moon (Cree), Planting Moon (Dakota, Lakota), Moon of Shedding Ponies (Oglala)', 'June: Berries Ripen Moon (Haida), Birth Moon (Tlingit), Blooming Moon (Anishinaabe), Egg Laying Moon (Cree), Hatching Moon (Cree), Green Corn Moon (Cherokee), Hot Moon, Hoer Moon (Western Abenaki)', 'July: Berry Moon (Anishinaabe), Feather Moulting Moon (Cree), Halfway Summer Moon (Anishinaabe), Month of the Ripe Corn Moon (Cherokee), Moon When the Chokecherries are Ripe (Dakota), Raspberry Moon (Algonquin, Ojibwe), Salmon Moon (Tlingit), Thunder Moon (Western Abenaki)', 'August: Black Cherries Moon (Assiniboine), Corn Moon (Algonquin, Ojibwe), Flying Up Moon (Cree), Harvest Moon (Dakota), Mountain Shadows Moon (Tlingit), Ricing Moon (Anishinaabe)', 'September: Autumn Moon (Cree), Child Moon (Tlingit), Corn Harvest Moon (Dakota), Corn Maker Moon (Western Abenaki), Falling Leaves Moon (Ojibwe), Harvest Moon, Leaves Turning Moon (Anishinaabe), Mating Moon (Cree), Moon of Brown Leaves (Lakota), Moon When the Rice is Laid Up to Dry (Dakota), Rutting Moon (Cree), Yellow Leaf Moon (Assiniboine)', 'October: Drying Rice Moon (Dakota), Falling Leaves Moon (Anishinaabe), Freezing Moon (Ojibwe), Ice Moon (Haida), Migrating Moon (Cree)', 'November: Deer Rutting Moon (Dakota, Lakota), Digging/Scratching Moon (Tlingit), Freezing Moon (Anishinaabe), Frost Moon (Cree, Assiniboine), Whitefish Moon (Algonquin)', 'December: Drift Clearing Moon (Cree), Frost Exploding Trees Moon (Cree), Hoar Frost Moon (Cree), Little Spirit Moon (Anishinaabe), Long Night Moon (Mohican), Mid-winter Moon (Lakota, Northern Ojibwe), Moon of the Popping Trees (Oglala), Moon When the Deer Shed Their Antlers (Dakota), Snow Moon (Haida, Cherokee), Winter Maker Moon (Western Abenaki)', 'In astrology, a Full Moon represents a moment of culmination or letting go. If you’ve been working towards a goal, this may be when you finally meet it; if you’ve been considering breaking up with someone, this might be when do so. Full Moons are also a time when passions are heightened. If you’ve been flirting with someone, you may finally confess your feelings; if tensions have been brewing in your relationship, you may find yourself having a big argument. Finally, Full Moons are a time when secrets come to light. Nothing can stay hidden under the glow of a Full Moon!', 'If you have a manifestation practice or dabble in witchcraft, Full Moons are a particularly powerful time. Here are some of things you might choose to do under a Full Moon:', 'To make Full Moon water, simply leave water out under a Full Moon overnight (preferably outside, or near a window). When it’s charged, you can use it to add an extra ~oomph~ to your future rituals.', 'When you keep a Moon journal, you align what you write about with the phases of the Moon. The Full Moon is a perfect time to practice gratitude, reflect on what’s happened over the past month, or go deep and practice shadow work—looking at the darkest side of yourself that you’re sometimes scared to acknowledge.', 'A Full Moon bath is a special kind of bath. As you soak in the water, imagine yourself releasing negative thoughts, stress, bad vibes, etc. and soaking up abundance and positivity. Design your own Moon bath by choosing herbs, essential oils, and crystals that align with the sign the Moon is in or whatever qualities you wish to absorb.', 'You can charge your crystals by leaving them out to soak up the moonlight overnight. Like making Full Moon water, it’s best to do this either outdoors or near a window. After you’ve charged your crystals, they’ll be at their most powerful.', 'Gather a group of friends (or just fellow Moon lovers) to celebrate the Full Moon. Full Moon circles are very individualized. You might participate in meditation or yoga, journal together, join together in a group ritual, or simply spend time together and talk.', 'Full Moons are a powerful time to practice magick. If you’re interested in candle magick, sex magick, or any other kind of witchcraft, this is an aligned time to perform a ritual. Here are a few guides to get you started:', 'You Might Also Like', 'Can Apple Cider Vinegar Lead to Weight Loss?', 'Bobbi Brown Shares Her Top Face-Transforming Makeup Tips for Women Over 50']"
Mini-Moon With Mahabharata Connection Will Not Be Visible To Eyes: ISRO,https://www.ndtv.com/world-news/mini-moon-with-mahabharata-connection-will-not-be-visible-to-eyes-isro-6579247,"['The asteroid was discovered on August 7 (Representational)', ""The temporary mini-moon of Earth, which will orbit our planet for 53 days, will not be visible to the naked eye, confirmed Dr AK Anil Kumar, head of ISRO's Network for Space Objects Tracking and Analysis (NETRA). The mini-moon, called 2024 PT5, is just 10 meters in diameter. It is 350,000 times smaller than the regular moon, which has a diameter of 3,476 kilometres, and hence, will be undetectable by the naked eye."", 'NETRA is monitoring the movement of 2024 PT5 and has confirmed that the asteroid will not collide with Earth. The mini-moon will start orbiting the Earth for almost two months on September 29 before breaking away from the elliptical force of the Earth and heading back into the vastness of the solar system on November 25.', 'The asteroid, discovered on August 7 by the Asteroid Terrestrial-impact Last Alert System (ATLAS), an automated system funded by NASA to monitor near-earth objects, also has a connection to the Hindu epic Mahabharata. In a report published in Research Notes of the American Astronomical Society (RNAAS), astronomers say that orbital properties of 2024 PT5 resemble that of asteroids that come from the Arjuna asteroid belt, ""a sparsely resonant population of small NEOs."" Dr Anil Kumar of NETRA also confirms that 2024 PT5 is part of the Arjuna Asteroid grouping.', '', '', '', '', '', ""The 'Arjuna' is a unique group of asteroids in the solar system. The naming of this asteroid group can be traced back to 1991 when Astronomer Robert H. McNaught discovered an asteroid '1991 VG' at the Siding Spring Observatory in Australia on November 1 of that year. The name 'Arjuna' was chosen by him inspired by the character in the Hindu epic Mahabharata. It was officially approved by the International Astronomical Union (IAU)."", ""In Hindu mythology, Arjuna is known for his bravery, unparalleled archery skills, and wisdom. The name reflects the asteroid's swift passage through the solar system, like Arjuna's swift arrows, and its unpredictable nature."", 'Promoted', '', 'Carlos de la Fuente Marcos and Raul de la Fuente Marcos, the astronomers who authored the RNAAS report said, ""near-Earth objects (NEOs) that follow horseshoe paths, and approach our planet at close range and low relative velocity, may undergo mini-moon events in which their geocentric energy becomes negative for hours, days or months, but without completing one revolution around Earth.""', 'Post a comment\nThey also said this is not the first time a mini-moon will appear around the Earth. Similar phenomena have happened earlier in 1997, 2013, and 2018.', 'Track Latest News Live on NDTV.com and get news updates from India and around the world.', 'WATCH LIVE NEWS:', 'FOLLOW US:', '', '', '', '................................ Advertisement ................................']"
"Earth will have a 'mini-moon' for nearly 2 months, researchers say. Here's what that means.",https://www.yahoo.com/news/earth-will-have-a-mini-moon-for-nearly-2-months-researchers-say-heres-what-that-means-155428731.html,"['For nearly two months this year, Earth’s moon will have company — a second moon.', 'Technically, it isn’t a second moon, but rather an asteroid from the Arjuna asteroid belt — named 2024 PT5 — that will be caught in the Earth’s gravitational pull, according to a study in the journal Research Notes of the American Astronomical Society.', 'This is how many “mini-moons” are formed. An object in space can get caught in the Earth’s gravitational pull, make a full rotation around the planet and be classified as an orbiter — or be labeled a flyby if it doesn’t make a full rotation around the Earth, which is what 2024 PT5 is doing.', '2024 PT5, discovered on Aug. 7, is following a horseshoe-shaped path, which means that it will make a semi-orbit of the Earth and then return to its normal sun-centered orbit. Researchers said the mini-moon will take place from Sept. 29 until Nov. 25.', 'Paul Chodas, director of the Center for Near Earth Object Studies at NASA’s Jet Propulsion Laboratory, told the New York Times that based on the asteroid’s motion there’s a chance that it originated from Earth’s actual moon.', 'While the average person may not see a second moon every day, this isn’t the only time the Earth’s moon has had a companion.', '“Earth can regularly capture asteroids from the Near-Earth object (NEO) population and pull them into orbit, making them mini-moons,” the study said. In 1981 and 2022, researchers said, a flyby called 2022 NX1 was another short-lived mini-moon.', 'Unfortunately, it will be difficult to see 2024 PT5 in the night sky, as it isn’t big enough.', '“The object is too small and dim for typical amateur telescopes and binoculars,” Carlos de la Fuente Marcos, lead author of the AAS study, told Space.com. “However, the object is well within the brightness range of typical telescopes used by professional astronomers.”', 'NASA wants to establish a permanent human presence on the moon, but right now, astronauts have to be in direct line of sight with Earth to phone home. The space agency is looking to change that with its developing Near Space Network, and it’s willing to pay potentially huge sums to private companies to help make continuous lunar communications a reality. The Houston-based company is best known for pulling off the first-ever private moon landing in February.', ""Indian filmmaker Ram Gopal Varma is ditching human musicians for artificial intelligence, saying he'll use only AI-generated tunes in future projects, a move that underscores AI's growing reach in creative industries. The filmmaker and screenwriter, known for popular Bollywood movies including Company, Rangeela, Sarkar, and Satya has launched a venture, called RGV Den Music, that will only feature music generated from AI apps including Suno and Udio, he told TechCrunch. In an interview, Varma urged artists to embrace AI rather than resist it."", ""Welcome to our weekend preview show where we get you ready with everything you need to know heading into Sunday and Monday's action. Andy Behrens joins Matt Harmon to share 3 burning fantasy questions he wants answered in Week 3. Behrens also shares the three matchups he has his eye on in Week 3 that will have the most fantasy ramifications."", 'Netflix has shown teasers and announced streaming dates for various upcoming shows at Geeked Week.', 'The WNBA playoffs are almost here.', 'In their regular season finale, the Indiana Fever rallied in the fourth quarter but fell short in a 92-91 loss to the Washington Mystics.', 'Christian and Alexis react to the first Champions League matchday. Then Christian and Alexis chat MLS midweek action. Later, Christian and Alexis talk soccer news in another edition of “rápido reactions”.', ""Secure Target's fan favorite 'Lewis the Pumpkin Ghoul,' plus more coveted items before they sell out."", 'California Governor Gavin Newsom is currently considering 38 AI-related bills, including the highly contentious SB 1047, which the state\'s legislature sent to his desk for final approval. ""Home to the majority of the world\'s leading AI companies, California is working to harness these transformative technologies to help address pressing challenges while studying the risks they present,"" said Governor Newsom\'s office in a press release. SB 981, which also became law on Thursday, requires social media platforms to establish channels for users to report deepfake nudes that resemble them.', ""Shohei Ohtani's 50th home run ball was just out of reach for an unlucky fan at Miami's loanDepot Park."", 'Trump maintains a roughly 60% stake in Trump Media & Technology Group, which trades on the Nasdaq under the ticker symbol ""DJT.""', 'A New York Times article Thursday highlighted a lucrative side hustle that is emblematic of the times we live in: gaming algorithms to earn money. In this case, folks figured out they could maximize the payout from Lyft\'s Citi Bike ""Bike Angels"" program by taking advantage of a company algorithm used to meet its supply-and-demand needs. The practice of ""station flipping"" — when one or more bike angels move docked Citi Bikes to a nearby empty station, waited 15 minutes and then moved them back — was quashed over the summer, according to Lyft.', ""After an inauspicious start, the Dodgers star embarked on a season for the ages ... and he's not finished yet."", ""In a season in which he's not pitching, the Dodgers star has delivered one of the greatest performances in MLB history."", ""Firewalk Studios' Ryan Ellis is taking on a smaller role following Concord's devastating numbers."", ""It's been a year of challenges for JetBlue. But the airline believes it can turn the corner with new premium offerings, a focus on leisure travel, and strategic cost-cutting."", 'Dress, cook and decorate like your favorite celebs (on a budget, of course) with these affordable fashion and home collabs.', 'Nearly a year after signing record labor contracts with the United Auto Workers union, two of the Big Three automakers find themselves dealing with the possibility of more strikes.', ""Who says you need to spend a lot to be gorgeous? These are The Dame's top picks for maintaining her age-defying appearance — all under $20."", 'Save up to 60% with sales on tried-and-true favorites from Bliss, CosRx, CeraVe, RoC and more.', '']"
